model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=sppp 
        size     Runtime
           2   0.0466667
           4   0.0133333
           8   0.0153333
          16   0.0166667
          32   0.0173333
          64   0.0296667
         128   0.0586667
         256        0.11
         512    0.191667
        1024        0.34
        2048        0.59
        4096       1.404
        8192     2.60367
       16384       6.164
       32768     11.4323
       65536     19.5577
      131072     47.0007
      262144     102.347
      524288     166.304
     1048576     302.766
     2097152     623.251
     4194304     1280.17
     8388608     2465.74
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=sppp 
        size     Runtime
           2        0.23
           4  0.00466667
           8  0.00433333
          16  0.00633333
          32   0.0103333
          64   0.0193333
         128   0.0373333
         256       0.074
         512    0.145667
        1024    0.291333
        2048    0.694333
        4096       1.332
        8192     2.60833
       16384     4.90133
       32768       8.673
       65536      14.624
      131072     22.5593
      262144     37.7657
      524288     76.0633
     1048576     161.783
     2097152     274.774
     4194304     544.908
     8388608     1172.35
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=sppp 
        size     Runtime
           2    0.130667
           4       0.048
           8   0.0383333
          16       0.044
          32   0.0433333
          64       0.052
         128       0.069
         256       0.131
         512    0.263333
        1024    0.363667
        2048    0.677333
        4096     1.51567
        8192       2.675
       16384       4.607
       32768       7.051
       65536     19.1453
      131072      41.984
      262144     88.1053
      524288      143.25
     1048576     250.241
     2097152     510.552
     4194304     906.177
     8388608     2021.13
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=sppp 
        size     Runtime
           2       0.153
           4  0.00266667
           8  0.00133333
          16  0.00266667
          32       0.005
          64        0.01
         128   0.0173333
         256       0.034
         512   0.0773333
        1024       0.151
        2048       0.248
        4096     1.32767
        8192     2.65533
       16384     4.82767
       32768     9.13333
       65536     15.7097
      131072      26.313
      262144       55.19
      524288     109.996
     1048576     220.102
     2097152      416.72
     4194304     868.675
     8388608     1688.81
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=sppp 
        size     Runtime
           2       0.131
           4       0.071
           8       0.037
          16   0.0456667
          32   0.0476667
          64   0.0543333
         128       0.058
         256       0.113
         512       0.193
        1024    0.392667
        2048       0.691
        4096     1.42333
        8192       2.204
       16384     5.17033
       32768     8.23067
       65536     13.7827
      131072     32.9937
      262144     69.3413
      524288     141.972
     1048576     214.257
     2097152     383.828
     4194304     674.127
     8388608     1418.04
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=sppp 
        size     Runtime
           2    0.229667
           4       0.006
           8  0.00533333
          16  0.00633333
          32   0.0103333
          64   0.0336667
         128   0.0583333
         256    0.115333
         512    0.228667
        1024    0.460333
        2048       1.171
        4096       2.314
        8192       4.474
       16384     8.47833
       32768      15.448
       65536     26.8923
      131072     53.7373
      262144     96.9227
      524288     205.075
     1048576     437.019
     2097152      820.86
     4194304     1687.45
     8388608     3452.26
model=tf num_threads=24 num_rounds=3 num_lines=24 pipes=sppp 
        size     Runtime
           2       0.069
           4       0.026
           8       0.022
          16   0.0276667
          32   0.0323333
          64   0.0293333
         128   0.0453333
         256   0.0906667
         512       0.166
        1024    0.223667
        2048       0.457
        4096    0.808667
        8192       1.793
       16384     3.36933
       32768       5.776
       65536      11.736
      131072     29.2277
      262144     77.3497
      524288     148.103
     1048576      236.84
     2097152     371.013
     4194304     840.854
     8388608     1429.98
model=tbb num_threads=24 num_rounds=3 num_lines=24 pipes=sppp 
        size     Runtime
           2       0.221
           4  0.00366667
           8       0.004
          16  0.00633333
          32       0.011
          64   0.0196667
         128   0.0373333
         256       0.073
         512    0.151333
        1024    0.578333
        2048       0.909
        4096     3.11767
        8192     8.00567
       16384     16.1353
       32768      31.946
       65536     63.0783
      131072      123.41
      262144     252.371
      524288     464.173
     1048576     1005.93
     2097152     2014.17
     4194304     4023.77
     8388608      8076.5
