model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=sppp 
        size     Runtime
           2   0.0816667
           4       0.033
           8   0.0356667
          16       0.035
          32   0.0443333
          64   0.0713333
         128    0.108667
         256       0.145
         512       0.225
        1024    0.392333
        2048    0.773333
        4096     1.32233
        8192     2.88033
       16384       6.482
       32768       11.18
       65536     26.4597
      131072     49.3483
      262144       81.16
      524288     158.462
     1048576     303.252
     2097152     620.434
     4194304     1275.75
     8388608     2570.14
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=sppp 
        size     Runtime
           2    0.105667
           4   0.0346667
           8   0.0343333
          16   0.0406667
          32       0.046
          64       0.056
         128   0.0543333
         256        0.12
         512       0.232
        1024    0.390333
        2048       0.851
        4096     1.67633
        8192     2.70867
       16384     5.36433
       32768     12.7953
       65536      24.838
      131072     54.7677
      262144      90.207
      524288      168.15
     1048576     309.633
     2097152     611.884
     4194304     1336.29
     8388608     2454.42
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=sppp 
        size     Runtime
           2    0.108667
           4        0.04
           8   0.0503333
          16   0.0606667
          32   0.0486667
          64   0.0636667
         128   0.0893333
         256       0.159
         512    0.242667
        1024    0.387333
        2048    0.818667
        4096       1.634
        8192       2.714
       16384     5.93333
       32768     10.5263
       65536     23.7287
      131072     48.3177
      262144     61.6317
      524288     160.078
     1048576     249.544
     2097152     517.046
     4194304     881.715
     8388608     2002.66
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=sppp 
        size     Runtime
           2    0.115667
           4   0.0453333
           8       0.042
          16   0.0383333
          32   0.0486667
          64   0.0503333
         128   0.0913333
         256    0.104333
         512    0.233333
        1024    0.367667
        2048    0.737667
        4096     1.40167
        8192     2.81067
       16384       5.397
       32768     10.9317
       65536     20.8583
      131072     42.7307
      262144      85.839
      524288     165.191
     1048576     266.506
     2097152      491.01
     4194304     842.599
     8388608     2006.95
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=sppp 
        size     Runtime
           2       0.089
           4       0.054
           8       0.065
          16   0.0463333
          32       0.065
          64       0.079
         128   0.0806667
         256    0.110333
         512    0.209333
        1024       0.376
        2048       0.622
        4096     1.23033
        8192     1.71667
       16384     4.45267
       32768        8.74
       65536      15.576
      131072      30.583
      262144     79.7953
      524288      133.67
     1048576     241.868
     2097152     391.788
     4194304     662.648
     8388608     1740.81
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=sppp 
        size     Runtime
           2    0.118667
           4       0.057
           8   0.0733333
          16   0.0496667
          32   0.0543333
          64       0.067
         128   0.0726667
         256        0.11
         512    0.177667
        1024       0.451
        2048    0.728333
        4096       1.231
        8192       2.423
       16384       4.476
       32768     7.97967
       65536     17.3583
      131072        40.9
      262144     76.3813
      524288     136.745
     1048576     216.802
     2097152     409.347
     4194304     726.925
     8388608     1246.91
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=sppp 
        size     Runtime
           2    0.123667
           4   0.0613333
           8   0.0513333
          16       0.059
          32   0.0366667
          64   0.0476667
         128   0.0743333
         256       0.115
         512       0.185
        1024       0.378
        2048       0.611
        4096     1.26667
        8192     2.54833
       16384       5.111
       32768     8.60333
       65536     17.2717
      131072     43.7107
      262144      85.009
      524288     153.943
     1048576     234.266
     2097152     405.261
     4194304     716.009
     8388608     1574.79
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=sppp 
        size     Runtime
           2       0.115
           4   0.0703333
           8   0.0716667
          16   0.0533333
          32   0.0473333
          64   0.0546667
         128    0.237333
         256       0.146
         512    0.189333
        1024    0.352333
        2048    0.654667
        4096     1.23367
        8192     2.48333
       16384     4.68633
       32768     8.93533
       65536     18.2327
      131072     37.1977
      262144       78.36
      524288     142.738
     1048576     230.641
     2097152     448.386
     4194304     759.188
     8388608     1645.36
