model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppp 
        size     Runtime
           2    0.343333
           4    0.257333
           8    0.287333
          16       0.569
          32     1.85033
          64     3.51533
         128     6.89933
         256      11.977
         512     23.2187
        1024      43.203
        2048     100.958
        4096     176.304
        8192     314.673
       16384     578.316
       32768     1151.29
       65536     2229.06
      131072     4446.48
      262144     8498.46
      524288     18464.5
     1048576     36521.4
     2097152       72985
     4194304      146821
     8388608      298017
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppp 
        size     Runtime
           2       0.313
           4    0.401667
           8    0.618333
          16    0.539667
          32     1.42667
          64       1.626
         128     2.96133
         256     5.74633
         512      11.373
        1024     26.2543
        2048      44.523
        4096     80.7233
        8192     143.792
       16384     290.776
       32768     431.565
       65536     906.856
      131072     1504.04
      262144     2697.87
      524288     5329.99
     1048576     9793.33
     2097152     19118.7
     4194304     38119.6
     8388608     75940.3
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppp 
        size     Runtime
           2    0.310333
           4       0.564
           8    0.728667
          16       1.104
          32     1.51533
          64       3.268
         128     7.75667
         256     13.0863
         512      25.743
        1024     42.7877
        2048      78.434
        4096     128.087
        8192     306.429
       16384     592.035
       32768     1205.92
       65536     2323.55
      131072     4879.29
      262144     9653.33
      524288     19898.7
     1048576     38702.1
     2097152     76400.3
     4194304      154133
     8388608      310764
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppp 
        size     Runtime
           2       0.272
           4    0.555333
           8       0.443
          16       0.292
          32    0.493667
          64    0.850333
         128       1.512
         256       2.904
         512     5.45567
        1024     9.43167
        2048      23.057
        4096     47.9673
        8192     92.3143
       16384     149.949
       32768     290.982
       65536     501.879
      131072     855.758
      262144     1666.75
      524288     3486.13
     1048576     5962.75
     2097152     11720.6
     4194304     23095.3
     8388608       45979
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppp 
        size     Runtime
           2    0.594667
           4    0.489667
           8       0.512
          16     1.01467
          32     1.38333
          64     3.04367
         128     5.49533
         256     11.2077
         512     21.0293
        1024     31.1217
        2048      74.346
        4096      133.68
        8192     278.497
       16384     578.885
       32768     1050.57
       65536     2199.02
      131072     4501.73
      262144     8909.17
      524288     17503.6
     1048576     35656.7
     2097152     73877.4
     4194304      140617
     8388608      298129
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppp 
        size     Runtime
           2    0.576667
           4    0.278333
           8    0.173667
          16    0.228667
          32    0.290333
          64    0.469667
         128       0.868
         256       1.506
         512     2.84167
        1024       5.271
        2048     9.07667
        4096     17.6777
        8192       36.62
       16384     77.2867
       32768     140.904
       65536     290.718
      131072     509.494
      262144     946.879
      524288     1809.79
     1048576     2990.89
     2097152     6121.26
     4194304     11621.4
     8388608     23236.9
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=sppppppp 
        size     Runtime
           2    0.182333
           4    0.966333
           8       0.687
          16        0.57
          32    0.885333
          64     1.79867
         128     3.48167
         256       6.649
         512     11.9257
        1024     22.6733
        2048     45.4503
        4096     102.349
        8192     218.526
       16384     397.883
       32768     754.186
       65536     1592.69
      131072     3086.73
      262144     6218.29
      524288     12338.8
     1048576     24845.3
     2097152     50049.5
     4194304      101046
     8388608      196241
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=sppppppp 
        size     Runtime
           2    0.146667
           4    0.110333
           8       0.136
          16    0.191333
          32    0.257667
          64    0.429333
         128         0.7
         256       1.352
         512     2.28933
        1024       6.482
        2048       7.757
        4096     12.7473
        8192     32.7277
       16384     55.8237
       32768      86.855
       65536     159.076
      131072     275.746
      262144     555.202
      524288      1245.4
     1048576     2128.89
     2097152     4297.02
     4194304     8525.53
     8388608     16987.2
