model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppppppppppp 
        size     Runtime
           2       0.075
           4   0.0286667
           8   0.0323333
          16   0.0406667
          32       0.048
          64   0.0983333
         128    0.183333
         256    0.337667
         512    0.714667
        1024     1.16867
        2048     2.41167
        4096     5.19633
        8192     8.01967
       16384      18.359
       32768       31.28
       65536     54.5367
      131072      91.661
      262144     183.285
      524288     432.449
     1048576     837.481
     2097152     1635.26
     4194304     3293.33
     8388608     6529.98
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppppppppppp 
        size     Runtime
           2   0.0986667
           4   0.0346667
           8   0.0296667
          16       0.038
          32   0.0466667
          64   0.0736667
         128       0.131
         256    0.268667
         512    0.489333
        1024    0.972333
        2048     1.65433
        4096       4.218
        8192     8.00833
       16384      14.157
       32768     26.0027
       65536     47.8517
      131072     103.489
      262144     167.245
      524288     413.859
     1048576     812.525
     2097152     1659.32
     4194304     3307.35
     8388608     6286.38
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppppppppppp 
        size     Runtime
           2    0.114667
           4   0.0566667
           8   0.0493333
          16   0.0576667
          32   0.0873333
          64    0.104667
         128    0.150667
         256    0.258667
         512       0.615
        1024       1.198
        2048     2.59167
        4096     4.22533
        8192     6.41833
       16384     16.2397
       32768     29.6757
       65536     58.7207
      131072     106.841
      262144     204.707
      524288     388.509
     1048576     785.937
     2097152     1582.52
     4194304     3190.91
     8388608     6187.27
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppppppppppp 
        size     Runtime
           2    0.118667
           4   0.0633333
           8       0.042
          16   0.0476667
          32       0.063
          64       0.086
         128    0.142333
         256    0.225333
         512    0.439667
        1024    0.894667
        2048     1.58833
        4096     3.50267
        8192     6.43967
       16384     14.0943
       32768     27.4447
       65536     46.8783
      131072     92.7367
      262144      170.02
      524288     308.141
     1048576     733.164
     2097152     1421.54
     4194304     2843.67
     8388608     5749.58
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppppppppppp 
        size     Runtime
           2   0.0866667
           4   0.0543333
           8       0.061
          16   0.0683333
          32   0.0783333
          64       0.089
         128    0.243333
         256    0.257333
         512       0.483
        1024       0.861
        2048     1.59233
        4096     3.13967
        8192       6.252
       16384     9.06433
       32768      17.477
       65536      49.156
      131072     91.3723
      262144     172.105
      524288     327.043
     1048576     619.641
     2097152     1220.13
     4194304     2349.29
     8388608     4809.26
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppppppppppp 
        size     Runtime
           2       0.132
           4   0.0636667
           8   0.0833333
          16   0.0723333
          32   0.0606667
          64       0.085
         128       0.141
         256       0.206
         512    0.422333
        1024    0.824333
        2048     1.36667
        4096     3.22033
        8192     5.61833
       16384     10.5677
       32768     20.6303
       65536      43.776
      131072     94.5477
      262144     173.692
      524288       320.1
     1048576     565.833
     2097152     1154.07
     4194304     2301.04
     8388608      4588.2
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=sppppppppppppppp 
        size     Runtime
           2    0.118667
           4       0.071
           8   0.0903333
          16   0.0573333
          32   0.0606667
          64   0.0843333
         128    0.142333
         256    0.257667
         512    0.496667
        1024    0.795333
        2048       1.487
        4096     2.57667
        8192       4.862
       16384     9.70733
       32768     18.1267
       65536      46.582
      131072     85.4867
      262144     172.631
      524288     324.773
     1048576     602.401
     2097152      1143.2
     4194304     2066.95
     8388608     4502.45
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=sppppppppppppppp 
        size     Runtime
           2    0.122667
           4       0.059
           8       0.174
          16   0.0936667
          32   0.0696667
          64   0.0786667
         128        0.14
         256       0.257
         512    0.381667
        1024       0.732
        2048     1.39633
        4096     2.88633
        8192     5.28967
       16384     8.11833
       32768     19.2413
       65536     48.4887
      131072     88.1567
      262144     163.279
      524288     309.612
     1048576     559.253
     2097152     1121.53
     4194304     2241.77
     8388608     4716.59
