model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=spsp 
        size     Runtime
           2    0.209333
           4       0.161
           8       0.325
          16       0.336
          32    0.566667
          64     1.39467
         128     3.11133
         256     5.35133
         512     11.4113
        1024      24.495
        2048     43.2263
        4096     84.6737
        8192     157.717
       16384      222.17
       32768     494.487
       65536     920.369
      131072     1745.15
      262144     3408.64
      524288      7022.2
     1048576     13758.8
     2097152     27060.2
     4194304     55140.8
     8388608      106359
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=spsp 
        size     Runtime
           2       0.205
           4    0.169333
           8       0.221
          16       0.275
          32    0.830667
          64     1.37933
         128     1.92767
         256     3.60867
         512     6.84333
        1024     11.0923
        2048     20.2953
        4096     57.3473
        8192     94.1143
       16384     173.414
       32768     308.202
       65536     530.622
      131072     995.016
      262144     1950.58
      524288     4036.84
     1048576     7521.07
     2097152     14662.2
     4194304     29472.3
     8388608     58044.5
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=spsp 
        size     Runtime
           2    0.316333
           4    0.408667
           8    0.492333
          16    0.725667
          32    0.881667
          64       1.319
         128     2.51633
         256       5.842
         512     8.64167
        1024     19.7193
        2048     43.4227
        4096     79.6253
        8192     149.559
       16384     302.824
       32768     534.606
       65536     1036.86
      131072      2024.9
      262144     3661.57
      524288     7939.51
     1048576       14944
     2097152     30063.7
     4194304     61435.2
     8388608      118185
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=spsp 
        size     Runtime
           2       0.208
           4    0.159667
           8    0.214667
          16    0.322333
          32       0.521
          64       0.965
         128     1.82067
         256       3.643
         512     6.38733
        1024     11.8787
        2048     21.3093
        4096      54.173
        8192     105.292
       16384     185.976
       32768     337.088
       65536     673.881
      131072     1305.61
      262144     2506.93
      524288     5122.14
     1048576     9918.51
     2097152     19711.6
     4194304     39197.5
     8388608     78703.2
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=spsp 
        size     Runtime
           2       0.335
           4    0.212667
           8    0.395667
          16    0.391667
          32    0.742333
          64       1.446
         128     2.81133
         256       4.747
         512       9.519
        1024      19.313
        2048       36.63
        4096      78.611
        8192     146.842
       16384     267.169
       32768     549.282
       65536     986.779
      131072     2031.51
      262144     4025.64
      524288     7990.63
     1048576     15734.1
     2097152     32075.5
     4194304     63911.1
     8388608      126184
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=spsp 
        size     Runtime
           2    0.236667
           4    0.254667
           8       0.435
          16       0.372
          32       0.495
          64     1.00533
         128     1.72233
         256     3.19767
         512     7.89033
        1024     13.0977
        2048     26.5123
        4096      66.384
        8192     117.517
       16384     221.044
       32768     393.531
       65536      784.28
      131072     1464.99
      262144     2879.31
      524288     5731.29
     1048576       11304
     2097152     22726.3
     4194304       45208
     8388608     90578.4
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=spsp 
        size     Runtime
           2    0.506667
           4    0.427667
           8    0.792667
          16    0.393333
          32    0.637667
          64     1.33033
         128     2.58867
         256     5.12767
         512       9.463
        1024     18.2713
        2048      39.407
        4096     72.3043
        8192     134.449
       16384     260.916
       32768     524.654
       65536     1041.61
      131072     2057.95
      262144     4084.71
      524288     8064.22
     1048576     16489.1
     2097152     32635.4
     4194304       64412
     8388608      130302
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=spsp 
        size     Runtime
           2       0.607
           4    0.446333
           8       0.227
          16    0.312333
          32    0.533667
          64     1.05767
         128       2.128
         256     3.77067
         512     7.85133
        1024     14.9307
        2048     31.6157
        4096       65.29
        8192     115.943
       16384     234.364
       32768     434.326
       65536     827.823
      131072     1631.56
      262144     3150.16
      524288     6520.59
     1048576     12286.2
     2097152     24485.8
     4194304     48953.8
     8388608     97652.4
