model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=spspspsp 
        size     Runtime
           2    0.324333
           4    0.238667
           8    0.437333
          16     1.07333
          32     1.67867
          64     3.62933
         128     6.56033
         256      10.788
         512      23.615
        1024     50.0313
        2048      88.523
        4096      158.22
        8192     296.539
       16384     581.847
       32768     1124.38
       65536     2117.77
      131072     4319.61
      262144      8772.8
      524288     17408.4
     1048576     35209.7
     2097152     70513.3
     4194304      140709
     8388608      292663
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=spspspsp 
        size     Runtime
           2       0.298
           4    0.310667
           8       0.309
          16       0.768
          32       1.547
          64     1.86067
         128       2.859
         256     6.28267
         512      10.665
        1024     23.7117
        2048     44.5533
        4096      84.874
        8192     137.694
       16384     303.065
       32768     499.138
       65536     861.628
      131072     1407.47
      262144     2591.55
      524288     5612.34
     1048576     9679.66
     2097152     19490.6
     4194304     38239.7
     8388608     76726.6
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=spspspsp 
        size     Runtime
           2    0.337333
           4    0.540667
           8    0.718333
          16     1.08833
          32       1.849
          64     3.13033
         128       7.046
         256      12.466
         512     26.2883
        1024     54.5587
        2048     94.1107
        4096     183.037
        8192     296.742
       16384     549.122
       32768     1105.02
       65536     2309.97
      131072     4541.05
      262144     8769.61
      524288       19870
     1048576     37474.5
     2097152       72573
     4194304      146747
     8388608      291428
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=spspspsp 
        size     Runtime
           2    0.269667
           4       0.245
           8    0.551333
          16    0.407333
          32    0.969667
          64    0.987333
         128        1.84
         256     3.44133
         512     6.20467
        1024     15.1737
        2048       23.56
        4096     51.7367
        8192      94.757
       16384     167.599
       32768     311.809
       65536     628.387
      131072     1108.78
      262144     2170.55
      524288     4503.82
     1048576     8559.86
     2097152     16706.5
     4194304     33473.9
     8388608     66352.2
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=spspspsp 
        size     Runtime
           2    0.494333
           4       0.289
           8    0.748667
          16       0.905
          32     1.45967
          64     2.26033
         128       3.915
         256     8.68667
         512      20.214
        1024     36.4757
        2048     90.9703
        4096       164.7
        8192     298.462
       16384     484.976
       32768     984.512
       65536     2124.75
      131072      3673.7
      262144     7860.26
      524288     15255.2
     1048576     29824.5
     2097152     59437.2
     4194304      122957
     8388608      244840
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=spspspsp 
        size     Runtime
           2    0.258333
           4    0.395667
           8    0.283667
          16    0.387333
          32    0.738333
          64       1.182
         128       2.063
         256        4.08
         512     7.32333
        1024     12.4777
        2048     22.0433
        4096     38.9617
        8192     85.8793
       16384     190.557
       32768      374.32
       65536     699.947
      131072     1352.19
      262144     2548.48
      524288     5179.38
     1048576     10232.5
     2097152     20700.3
     4194304       41292
     8388608     82042.1
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=spspspsp 
        size     Runtime
           2       0.498
           4       0.308
           8    0.369333
          16    0.822333
          32     1.09733
          64     2.05633
         128       3.846
         256     6.93333
         512     10.3067
        1024     25.1953
        2048     37.9913
        4096     102.964
        8192      163.98
       16384     412.899
       32768     740.187
       65536     1533.72
      131072     2943.92
      262144     6115.08
      524288     11450.4
     1048576     23875.3
     2097152     46364.4
     4194304       91081
     8388608      185370
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=spspspsp 
        size     Runtime
           2    0.289333
           4    0.218667
           8    0.278667
          16    0.387333
          32    0.647333
          64     1.22167
         128     2.22133
         256     4.01167
         512        7.27
        1024      13.304
        2048     22.2933
        4096     44.0387
        8192     112.948
       16384     199.538
       32768     368.437
       65536     752.421
      131072     1358.28
      262144     2773.97
      524288      5638.8
     1048576     10914.5
     2097152     22066.9
     4194304     43532.5
     8388608     87253.9
