model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=spspspspspspspsp 
        size     Runtime
           2    0.348333
           4    0.485333
           8     1.34267
          16     1.78833
          32       3.471
          64     5.90633
         128     12.9037
         256     29.2513
         512     49.8547
        1024     99.9123
        2048     190.581
        4096     328.226
        8192     774.573
       16384      1489.9
       32768     2981.23
       65536     5543.06
      131072       11533
      262144       23727
      524288     45704.4
     1048576     89723.7
     2097152      179996
     4194304      368350
     8388608      764000
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=spspspspspspspsp 
        size     Runtime
           2    0.521667
           4    0.628333
           8       0.714
          16       1.587
          32       2.158
          64     3.01267
         128     9.60333
         256     13.1003
         512     23.1493
        1024     59.7723
        2048     101.611
        4096     176.103
        8192     267.004
       16384     472.565
       32768      936.54
       65536     1583.84
      131072     2867.18
      262144      5380.1
      524288       11997
     1048576     21013.6
     2097152     41358.5
     4194304     82124.7
     8388608      164210
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=spspspspspspspsp 
        size     Runtime
           2    0.731667
           4    0.870667
           8    0.985333
          16       1.854
          32     3.11667
          64       6.906
         128      14.997
         256     32.0857
         512     55.0763
        1024      93.461
        2048     179.752
        4096       423.9
        8192     781.139
       16384     1505.38
       32768     3420.51
       65536     6695.23
      131072     13616.4
      262144       28455
      524288     52062.1
     1048576      107699
     2097152      212093
     4194304      426416
     8388608      834330
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=spspspspspspspsp 
        size     Runtime
           2    0.690333
           4    0.557667
           8     1.19067
          16     1.06967
          32       1.593
          64     2.15633
         128     2.92733
         256     5.77733
         512     10.8907
        1024     22.3243
        2048      47.091
        4096     83.4387
        8192     156.853
       16384     284.094
       32768     563.438
       65536     1050.48
      131072     1565.09
      262144      3175.7
      524288     6460.15
     1048576     11849.9
     2097152     23086.4
     4194304     45553.1
     8388608     91439.9
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=spspspspspspspsp 
        size     Runtime
           2    0.616333
           4    0.684333
           8     1.98333
          16     1.63767
          32       3.478
          64     5.96933
         128     12.7597
         256      22.142
         512      42.544
        1024      91.975
        2048     164.738
        4096     360.891
        8192     741.541
       16384     1215.54
       32768     2823.69
       65536     5233.48
      131072     10714.5
      262144       22058
      524288     43776.4
     1048576     88072.5
     2097152      176284
     4194304      350822
     8388608      695750
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=spspspspspspspsp 
        size     Runtime
           2       0.686
           4       0.373
           8    0.569333
          16    0.479333
          32    0.807333
          64     1.12033
         128     1.82933
         256       3.457
         512       6.153
        1024     11.9093
        2048      21.459
        4096     52.3773
        8192     108.881
       16384     233.633
       32768     387.251
       65536     701.709
      131072     1275.28
      262144     2465.11
      524288     5059.09
     1048576     9663.78
     2097152       19146
     4194304       38149
     8388608     76053.5
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=spspspspspspspsp 
        size     Runtime
           2       0.448
           4    0.448333
           8    0.793333
          16     1.08267
          32     2.19567
          64     3.83533
         128     7.11633
         256     16.0507
         512      24.717
        1024      65.589
        2048     132.804
        4096     271.454
        8192     471.388
       16384     1047.81
       32768     2080.24
       65536     4247.13
      131072     8373.61
      262144     16565.6
      524288     33455.7
     1048576     66110.8
     2097152      134098
     4194304      268490
     8388608      528797
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=spspspspspspspsp 
        size     Runtime
           2    0.540667
           4    0.351667
           8    0.322667
          16    0.419667
          32    0.669667
          64     1.08633
         128       1.884
         256     3.57667
         512     6.22567
        1024     11.2513
        2048     21.5693
        4096     50.7697
        8192      93.509
       16384     174.253
       32768     320.478
       65536     644.485
      131072     1336.08
      262144      2559.1
      524288     5098.97
     1048576     9923.66
     2097152     19971.3
     4194304     39844.8
     8388608     79560.1
