model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=ssss 
        size     Runtime
           2    0.203667
           4    0.158667
           8    0.254333
          16    0.387667
          32    0.636333
          64       1.271
         128     2.75667
         256     5.15733
         512      12.104
        1024     24.7343
        2048     40.1673
        4096     81.2143
        8192     163.554
       16384     240.124
       32768     499.306
       65536     917.477
      131072      1699.1
      262144     3316.54
      524288     6548.46
     1048576     12119.9
     2097152     24022.8
     4194304     53279.5
     8388608      105298
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=ssss 
        size     Runtime
           2    0.213667
           4    0.177333
           8    0.304667
          16       0.399
          32    0.601667
          64       1.037
         128       1.974
         256       3.633
         512     7.58567
        1024      13.067
        2048      27.349
        4096     44.5717
        8192      94.118
       16384     165.831
       32768     294.529
       65536     494.019
      131072     984.402
      262144     1906.12
      524288     3799.84
     1048576     7138.57
     2097152     14183.6
     4194304     28255.1
     8388608     56180.4
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=ssss 
        size     Runtime
           2    0.316333
           4    0.297667
           8    0.391333
          16    0.558667
          32       0.869
          64     1.39867
         128     2.70133
         256     5.32767
         512     10.3177
        1024      20.648
        2048     37.4803
        4096     75.0337
        8192     144.778
       16384     263.676
       32768     568.124
       65536     992.635
      131072     1989.59
      262144     4045.21
      524288     7702.45
     1048576     15271.6
     2097152     31066.4
     4194304     61287.7
     8388608      122929
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=ssss 
        size     Runtime
           2    0.299333
           4        0.17
           8       0.206
          16       0.231
          32       0.456
          64    0.869667
         128     1.77667
         256     3.02767
         512     6.12967
        1024     11.1417
        2048      35.486
        4096      55.384
        8192       95.11
       16384     172.148
       32768     327.564
       65536     606.537
      131072     1195.45
      262144     2394.04
      524288      4697.8
     1048576     9056.69
     2097152     17870.4
     4194304     35563.2
     8388608     70871.7
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=ssss 
        size     Runtime
           2    0.443333
           4    0.583333
           8       0.457
          16    0.647333
          32    0.635333
          64     1.08667
         128     2.35867
         256     5.18967
         512     6.89233
        1024     16.5553
        2048     32.9177
        4096      67.021
        8192     138.141
       16384     220.947
       32768     500.619
       65536     906.011
      131072      1909.8
      262144     3647.05
      524288     7030.23
     1048576     14106.6
     2097152     28371.5
     4194304     57067.6
     8388608      118329
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=ssss 
        size     Runtime
           2    0.259333
           4    0.521667
           8    0.557667
          16    0.703333
          32       0.602
          64     1.09733
         128       2.038
         256       3.385
         512     6.94433
        1024      12.172
        2048     22.9167
        4096     48.5483
        8192     98.2253
       16384     156.219
       32768     309.999
       65536     593.256
      131072     1119.54
      262144     2234.22
      524288     4456.69
     1048576     8788.28
     2097152     17316.1
     4194304     34407.4
     8388608     68758.6
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=ssss 
        size     Runtime
           2    0.371333
           4    0.173667
           8       0.598
          16    0.370333
          32    0.650333
          64       1.118
         128     2.06733
         256     3.08467
         512     6.88067
        1024     11.8673
        2048     24.5407
        4096     58.3917
        8192     114.381
       16384     187.434
       32768     386.733
       65536     750.755
      131072     1417.77
      262144     2905.26
      524288     5841.75
     1048576     11325.8
     2097152     22872.5
     4194304     44611.6
     8388608     88864.7
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=ssss 
        size     Runtime
           2       0.257
           4       0.399
           8    0.241333
          16    0.331333
          32    0.648333
          64     1.17233
         128     2.09967
         256     3.52933
         512     6.71067
        1024     12.2803
        2048      19.975
        4096      36.586
        8192      84.867
       16384     170.682
       32768     312.156
       65536     591.439
      131072     1174.84
      262144     2209.47
      524288     4412.53
     1048576     8502.67
     2097152     17298.9
     4194304     34079.5
     8388608     67930.5
