model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssss 
        size     Runtime
           2   0.0723333
           4   0.0406667
           8       0.027
          16   0.0356667
          32   0.0513333
          64   0.0736667
         128    0.118333
         256    0.251333
         512    0.433667
        1024    0.834667
        2048     1.31567
        4096     3.64967
        8192       8.112
       16384     11.3517
       32768     27.7177
       65536      51.811
      131072     99.3367
      262144     164.043
      524288         350
     1048576     739.922
     2097152     1469.68
     4194304     3048.72
     8388608     5992.71
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssss 
        size     Runtime
           2    0.116667
           4   0.0336667
           8       0.053
          16   0.0526667
          32   0.0663333
          64    0.124333
         128       0.151
         256        0.22
         512    0.462667
        1024     1.12067
        2048       2.124
        4096     4.46967
        8192       8.283
       16384      15.979
       32768     23.9857
       65536     52.0557
      131072     89.1057
      262144     162.499
      524288     363.147
     1048576     782.084
     2097152     1530.27
     4194304     3210.24
     8388608     6148.81
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssss 
        size     Runtime
           2    0.131333
           4   0.0536667
           8   0.0476667
          16   0.0553333
          32   0.0836667
          64   0.0823333
         128    0.163667
         256    0.310333
         512        0.44
        1024    0.845333
        2048     1.57233
        4096        3.08
        8192     5.80467
       16384     11.1383
       32768     25.9573
       65536       49.76
      131072      88.536
      262144      192.19
      524288     359.293
     1048576     689.187
     2097152     1376.79
     4194304     2808.08
     8388608     5573.59
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssss 
        size     Runtime
           2    0.123667
           4   0.0483333
           8   0.0506667
          16       0.096
          32    0.106333
          64   0.0966667
         128    0.158333
         256    0.278333
         512    0.474667
        1024    0.920667
        2048       1.709
        4096       2.464
        8192       6.778
       16384      12.312
       32768     20.3083
       65536     44.7407
      131072     91.2707
      262144     175.484
      524288     333.651
     1048576     681.177
     2097152     1409.06
     4194304     2853.96
     8388608     5810.57
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssss 
        size     Runtime
           2       0.118
           4   0.0703333
           8   0.0813333
          16   0.0596667
          32   0.0763333
          64       0.083
         128    0.121333
         256    0.238333
         512    0.414333
        1024    0.778667
        2048     1.20167
        4096     2.57633
        8192       4.484
       16384       8.817
       32768     16.6987
       65536      44.349
      131072     85.1363
      262144     160.053
      524288     295.291
     1048576     577.096
     2097152     1090.11
     4194304     2212.37
     8388608     4136.26
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssss 
        size     Runtime
           2       0.077
           4   0.0503333
           8       0.058
          16   0.0456667
          32   0.0556667
          64   0.0903333
         128       0.149
         256       0.248
         512       0.446
        1024    0.737667
        2048     1.42567
        4096       2.928
        8192     5.34533
       16384     7.99867
       32768      17.473
       65536      34.778
      131072     77.2233
      262144     162.532
      524288     293.552
     1048576     568.648
     2097152     1099.03
     4194304     2235.73
     8388608     4699.56
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=ssssssss 
        size     Runtime
           2    0.132667
           4       0.074
           8   0.0546667
          16   0.0713333
          32   0.0736667
          64   0.0913333
         128    0.127333
         256    0.194333
         512    0.324667
        1024       0.637
        2048       1.058
        4096     2.46433
        8192       4.638
       16384     8.99667
       32768      14.159
       65536      41.005
      131072     83.5547
      262144     161.036
      524288     276.418
     1048576     519.012
     2097152     1050.99
     4194304     1938.42
     8388608     3994.72
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=ssssssss 
        size     Runtime
           2    0.143333
           4   0.0666667
           8   0.0563333
          16   0.0513333
          32   0.0586667
          64   0.0873333
         128       0.281
         256    0.184667
         512    0.341333
        1024    0.784333
        2048     1.52867
        4096       2.457
        8192     4.61567
       16384     9.21167
       32768     16.6737
       65536     35.1293
      131072     91.0433
      262144     158.694
      524288     271.355
     1048576     505.773
     2097152     1038.98
     4194304     1965.44
     8388608     4029.67
