model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssssssssssss 
        size     Runtime
           2    0.230333
           4    0.340667
           8    0.741667
          16        1.36
          32     3.06767
          64     6.08933
         128     11.9483
         256     21.0263
         512     53.0297
        1024     112.838
        2048     158.119
        4096     357.105
        8192      693.61
       16384     1334.52
       32768     2716.65
       65536     5751.07
      131072     11803.2
      262144     22929.6
      524288     47527.2
     1048576     90509.8
     2097152      183143
     4194304      361383
     8388608      634678
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssssssssssss 
        size     Runtime
           2    0.584667
           4    0.637667
           8     1.57767
          16       2.443
          32     2.69733
          64     3.46333
         128     8.20067
         256     12.6753
         512     25.0703
        1024      52.361
        2048       105.5
        4096     146.824
        8192     297.481
       16384     575.097
       32768      828.99
       65536     1463.36
      131072     2879.03
      262144     5393.87
      524288     11625.8
     1048576     20751.7
     2097152       41713
     4194304     82372.5
     8388608      164406
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssssssssssss 
        size     Runtime
           2       0.568
           4    0.769667
           8       0.953
          16     1.76133
          32     3.89667
          64         7.4
         128     13.9223
         256     26.2533
         512      51.599
        1024     104.172
        2048     179.117
        4096      327.08
        8192     722.027
       16384     1611.58
       32768     3449.53
       65536     6660.42
      131072     12978.9
      262144     25346.7
      524288       50614
     1048576      104138
     2097152      217487
     4194304      433332
     8388608      827203
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssssssssssss 
        size     Runtime
           2    0.586667
           4    0.502667
           8    0.436333
          16     1.42767
          32       1.285
          64       1.725
         128     4.33667
         256       5.733
         512     10.6697
        1024       23.85
        2048     49.5013
        4096      85.517
        8192     149.463
       16384     326.723
       32768     551.488
       65536     1011.71
      131072      1904.2
      262144     3370.07
      524288     6600.75
     1048576     12001.9
     2097152     23765.5
     4194304     46782.9
     8388608     92236.1
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssssssssssss 
        size     Runtime
           2     1.01033
           4    0.988667
           8       1.397
          16     1.44333
          32     3.07533
          64     7.06367
         128      11.791
         256      21.856
         512     43.2863
        1024     76.6363
        2048     169.871
        4096     338.891
        8192     722.693
       16384      1381.9
       32768     2645.44
       65536      5163.9
      131072     10920.9
      262144     22259.3
      524288     43971.1
     1048576     89256.2
     2097152      175067
     4194304      358920
     8388608      701871
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssssssssssss 
        size     Runtime
           2        0.39
           4        0.32
           8    0.386333
          16    0.870667
          32    0.733333
          64       1.682
         128     3.01567
         256       3.421
         512       5.885
        1024     10.9137
        2048     18.9793
        4096     43.5263
        8192      100.47
       16384     218.309
       32768     429.187
       65536     636.335
      131072     1154.83
      262144     2307.79
      524288     4739.53
     1048576      9021.3
     2097152     17929.9
     4194304     35519.7
     8388608     70726.5
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=ssssssssssssssss 
        size     Runtime
           2       1.145
           4       0.519
           8    0.762667
          16     1.14033
          32     1.71633
          64     3.65733
         128     8.31367
         256     15.9903
         512     24.3817
        1024     51.0897
        2048     112.436
        4096     263.816
        8192     509.027
       16384     1001.13
       32768     2008.46
       65536     4020.94
      131072     7982.05
      262144     15801.9
      524288     31449.4
     1048576     62439.3
     2097152      124798
     4194304      248815
     8388608      514982
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=ssssssssssssssss 
        size     Runtime
           2    0.455333
           4    0.348333
           8       0.413
          16    0.587333
          32       0.833
          64     1.24667
         128     2.05433
         256       3.444
         512     6.07733
        1024     11.3893
        2048     19.9083
        4096      36.197
        8192     82.6253
       16384      210.83
       32768     340.727
       65536     629.407
      131072     1210.06
      262144     2450.31
      524288     4844.17
     1048576     9562.25
     2097152       19112
     4194304     38117.7
     8388608     76288.5
