model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=sppp datatype=string 
        size     Runtime
           2    0.132333
           4    0.188667
           8    0.298333
          16    0.350667
          32       0.663
          64     1.19567
         128       1.788
         256       3.405
         512     6.31033
        1024      14.985
        2048     33.4217
        4096      80.625
        8192     129.059
       16384     238.679
       32768     502.619
       65536     995.251
      131072     1987.88
      262144     4111.28
      524288     8299.32
     1048576     16375.8
     2097152       32856
     4194304     61418.1
     8388608      129054
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=sppp datatype=string 
        size     Runtime
           2    0.200667
           4    0.231667
           8    0.337333
          16       0.622
          32       1.104
          64     1.09333
         128     1.87933
         256       4.076
         512     8.19867
        1024     15.6643
        2048     28.2483
        4096     57.6377
        8192     102.725
       16384     214.962
       32768     370.475
       65536     676.382
      131072     1369.23
      262144     2563.45
      524288     4794.66
     1048576     9265.25
     2097152     18584.2
     4194304     40646.4
     8388608       75999
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=sppp datatype=string 
        size     Runtime
           2    0.290333
           4       0.522
           8    0.405333
          16    0.699667
          32       0.751
          64     1.11733
         128     1.88067
         256       2.621
         512       5.333
        1024     9.98633
        2048     28.8203
        4096     43.3817
        8192      75.676
       16384     136.261
       32768     268.543
       65536     578.552
      131072     1121.02
      262144     2204.69
      524288     4392.73
     1048576     8694.04
     2097152     17724.8
     4194304     34269.4
     8388608     67493.1
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=sppp datatype=string 
        size     Runtime
           2    0.285667
           4    0.302333
           8    0.314667
          16    0.248667
          32    0.302333
          64       0.639
         128       2.903
         256     2.06467
         512       5.789
        1024       7.732
        2048     14.8343
        4096     26.5547
        8192     53.0397
       16384     115.103
       32768     216.304
       65536     425.757
      131072     787.718
      262144     1549.67
      524288     3040.93
     1048576     6089.69
     2097152     11788.7
     4194304     24027.8
     8388608     48283.9
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=sppp datatype=string 
        size     Runtime
           2    0.609667
           4    0.211333
           8    0.282333
          16       0.602
          32    0.730333
          64     1.27467
         128        1.02
         256        1.92
         512     3.48867
        1024     6.90933
        2048     12.4997
        4096      25.295
        8192     50.4213
       16384     99.4173
       32768     220.321
       65536     423.074
      131072     829.592
      262144     1565.11
      524288     3144.51
     1048576     6037.32
     2097152     12442.5
     4194304     24886.8
     8388608       49895
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=sppp datatype=string 
        size     Runtime
           2    0.151333
           4    0.153667
           8    0.145333
          16       0.187
          32       0.284
          64        0.66
         128    0.744333
         256        1.36
         512     2.56567
        1024       5.086
        2048     9.36667
        4096     17.7357
        8192      34.521
       16384     77.0193
       32768     164.786
       65536     284.042
      131072     625.385
      262144     1155.49
      524288     2183.29
     1048576      4242.9
     2097152     8676.17
     4194304     16876.6
     8388608     34172.9
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=sppp datatype=string 
        size     Runtime
           2    0.182667
           4       0.145
           8    0.243667
          16       0.333
          32    0.369333
          64    0.537333
         128     1.07967
         256     1.69267
         512       3.167
        1024     7.45133
        2048      15.412
        4096      35.023
        8192     50.6437
       16384     128.089
       32768     224.564
       65536     326.692
      131072     673.771
      262144     1295.25
      524288     2605.62
     1048576     5366.88
     2097152     10841.5
     4194304     21658.6
     8388608     43737.2
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=sppp datatype=string 
        size     Runtime
           2   0.0956667
           4   0.0766667
           8   0.0956667
          16    0.144333
          32    0.239667
          64    0.334333
         128       0.545
         256     1.09167
         512     2.60167
        1024     4.38933
        2048     7.53633
        4096      14.925
        8192      31.098
       16384     60.8623
       32768     225.551
       65536     292.092
      131072     518.604
      262144      1120.2
      524288     2029.88
     1048576     4014.88
     2097152     8030.49
     4194304     16048.2
     8388608     33269.8
