model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppp datatype=string 
        size     Runtime
           2    0.234667
           4    0.252667
           8    0.424333
          16    0.635667
          32     1.36433
          64     2.58933
         128     5.58433
         256     10.8163
         512     22.9597
        1024     38.8747
        2048     84.6763
        4096     161.935
        8192     319.527
       16384     577.185
       32768     1180.32
       65536     2502.34
      131072     4718.13
      262144     9479.37
      524288     18705.3
     1048576     38816.8
     2097152     78487.1
     4194304      155256
     8388608      318880
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppp datatype=string 
        size     Runtime
           2    0.335667
           4       0.307
           8    0.362333
          16    0.968667
          32     1.15667
          64     3.16433
         128     4.77867
         256      10.612
         512      16.757
        1024     33.3143
        2048      58.024
        4096      108.59
        8192     211.481
       16384     395.173
       32768     768.865
       65536     1405.61
      131072     2589.77
      262144     5131.11
      524288     10426.3
     1048576     21792.3
     2097152     44193.2
     4194304     78827.7
     8388608      167676
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppp datatype=string 
        size     Runtime
           2       0.529
           4    0.530667
           8       0.509
          16       1.011
          32       1.155
          64    0.997667
         128     1.92267
         256     3.55767
         512     9.92833
        1024      30.369
        2048     55.7267
        4096     105.359
        8192     177.272
       16384     345.193
       32768     600.953
       65536     1223.84
      131072     2495.63
      262144     4761.34
      524288     9282.97
     1048576     18532.5
     2097152       36646
     4194304     73856.3
     8388608      156088
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppp datatype=string 
        size     Runtime
           2    0.443333
           4    0.411333
           8    0.487333
          16     1.05567
          32    0.688333
          64     1.30533
         128     2.52567
         256     4.70133
         512      10.403
        1024     17.8463
        2048     30.6223
        4096       61.43
        8192     128.158
       16384     243.621
       32768     448.318
       65536     858.955
      131072     1710.82
      262144     3324.22
      524288     6662.86
     1048576     13717.1
     2097152     26747.2
     4194304     54330.5
     8388608      107725
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppp datatype=string 
        size     Runtime
           2       0.646
           4       0.726
           8    0.721667
          16    0.678667
          32    0.697333
          64     1.22467
         128       2.139
         256     4.33633
         512     8.08067
        1024     15.7493
        2048     29.3153
        4096     60.7743
        8192      115.75
       16384     260.072
       32768     535.675
       65536     977.035
      131072     1949.48
      262144     3786.39
      524288     7782.78
     1048576     14977.2
     2097152     30598.9
     4194304     61735.5
     8388608      120558
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppp datatype=string 
        size     Runtime
           2    0.274333
           4    0.358667
           8    0.317667
          16    0.348333
          32    0.415333
          64       0.682
         128     1.17733
         256     2.26067
         512       4.223
        1024        7.94
        2048     16.2237
        4096      32.813
        8192     69.2673
       16384     188.298
       32768     286.252
       65536     523.727
      131072      970.82
      262144     1897.01
      524288     3803.16
     1048576     7338.83
     2097152       14917
     4194304     29867.1
     8388608     59583.6
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=sppppppp datatype=string 
        size     Runtime
           2    0.200667
           4    0.191667
           8       0.319
          16       0.459
          32    0.716667
          64       0.956
         128       2.493
         256     3.89433
         512     8.49367
        1024     13.7227
        2048     28.1617
        4096      49.865
        8192     104.115
       16384     227.343
       32768     477.877
       65536     810.459
      131072     1753.31
      262144     3386.48
      524288      6764.8
     1048576     13410.5
     2097152     27162.4
     4194304     53896.2
     8388608      109738
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=sppppppp datatype=string 
        size     Runtime
           2       0.163
           4    0.114667
           8    0.223667
          16        0.26
          32        0.35
          64    0.609333
         128       3.893
         256     1.69267
         512     3.42967
        1024       6.951
        2048     10.9407
        4096     33.8017
        8192     42.2493
       16384     77.5067
       32768     194.372
       65536     319.837
      131072     664.665
      262144     1243.42
      524288     2528.16
     1048576     5002.59
     2097152     10241.5
     4194304     20320.1
     8388608     40860.8
