model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppppppppppp datatype=string 
        size     Runtime
           2    0.222333
           4       0.538
           8    0.807333
          16     1.52067
          32     2.81667
          64     5.66333
         128     10.7733
         256      23.333
         512     43.9987
        1024     94.8043
        2048     160.506
        4096     342.712
        8192     610.191
       16384     1265.59
       32768     2543.42
       65536     5156.16
      131072     10428.4
      262144     19765.6
      524288       44456
     1048576     84339.5
     2097152      163587
     4194304      316320
     8388608      638927
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppppppppppp datatype=string 
        size     Runtime
           2       0.353
           4    0.319333
           8       0.532
          16     1.26067
          32     2.12267
          64     6.90767
         128     9.93567
         256      25.404
         512     31.9993
        1024     67.0083
        2048     131.161
        4096      210.78
        8192      398.81
       16384     790.407
       32768     1484.64
       65536     2921.21
      131072     6101.31
      262144     12297.2
      524288     24129.5
     1048576     51101.4
     2097152      100580
     4194304      205105
     8388608      405217
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppppppppppp datatype=string 
        size     Runtime
           2    0.645333
           4       0.709
           8       1.277
          16     1.58467
          32     2.63967
          64       3.872
         128       6.503
         256     12.1073
         512     23.5307
        1024     41.1073
        2048      91.736
        4096     187.637
        8192      342.23
       16384     622.382
       32768     1139.36
       65536     2311.19
      131072     4580.57
      262144     9243.71
      524288     17655.1
     1048576     34837.5
     2097152     70562.5
     4194304      147666
     8388608      308243
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppppppppppp datatype=string 
        size     Runtime
           2    0.640333
           4       0.629
           8     1.46067
          16     1.37267
          32       3.275
          64     2.24567
         128     5.16067
         256       8.465
         512     16.8613
        1024      33.214
        2048     73.7293
        4096     135.422
        8192      244.61
       16384     445.691
       32768     927.673
       65536     1714.18
      131072     3479.02
      262144      6601.3
      524288     13088.3
     1048576     25508.3
     2097152     52583.1
     4194304      108014
     8388608      209214
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppppppppppp datatype=string 
        size     Runtime
           2    0.751667
           4    0.879333
           8       1.076
          16     1.22733
          32       1.352
          64       3.136
         128       5.069
         256     8.55067
         512     19.2557
        1024      32.096
        2048      65.235
        4096     147.003
        8192      247.29
       16384     539.323
       32768     963.532
       65536     1948.09
      131072     3938.22
      262144     7823.06
      524288     15742.5
     1048576     32394.2
     2097152     62956.2
     4194304      126484
     8388608      251694
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppppppppppp datatype=string 
        size     Runtime
           2    0.304333
           4    0.322667
           8        0.59
          16    0.584667
          32     1.00767
          64     1.73667
         128       3.019
         256       5.893
         512      12.405
        1024      22.789
        2048      45.705
        4096     91.7247
        8192     213.611
       16384     395.962
       32768     737.462
       65536     1467.37
      131072     2849.88
      262144     5970.81
      524288     11922.6
     1048576     23518.3
     2097152     47902.1
     4194304     95639.9
     8388608      188162
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=sppppppppppppppp datatype=string 
        size     Runtime
           2    0.607667
           4    0.479333
           8       0.589
          16       1.081
          32     1.69167
          64     1.77767
         128     4.00567
         256       7.355
         512      13.098
        1024      27.864
        2048     53.5557
        4096     99.3267
        8192     204.601
       16384     398.777
       32768     819.246
       65536     1656.56
      131072     3313.71
      262144     6654.19
      524288     13387.3
     1048576     26667.7
     2097152     52690.2
     4194304      104317
     8388608      213682
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=sppppppppppppppp datatype=string 
        size     Runtime
           2       0.247
           4    0.216667
           8    0.265333
          16    0.429333
          32    0.606333
          64     1.30433
         128     2.46233
         256       6.017
         512     9.71833
        1024     18.4903
        2048     37.2763
        4096     79.6117
        8192     150.709
       16384     347.741
       32768     587.989
       65536     1253.83
      131072     2408.13
      262144     4948.79
      524288     9817.83
     1048576     19967.9
     2097152     39011.2
     4194304       79559
     8388608      158441
