model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=spsp datatype=string 
        size     Runtime
           2    0.191667
           4        0.17
           8       0.247
          16    0.386333
          32        0.79
          64       1.401
         128     3.29067
         256     6.01733
         512     10.7227
        1024      21.009
        2048     44.5787
        4096      78.088
        8192     146.687
       16384     282.235
       32768     526.617
       65536     1048.93
      131072     1947.04
      262144     3672.38
      524288     7793.86
     1048576     15133.6
     2097152     32760.9
     4194304     64369.9
     8388608      130338
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=spsp datatype=string 
        size     Runtime
           2    0.186667
           4    0.168667
           8    0.181667
          16    0.598333
          32    0.546667
          64     1.49067
         128     2.37533
         256     5.30033
         512     10.7067
        1024     20.5563
        2048      35.877
        4096     62.1757
        8192     128.741
       16384     211.737
       32768     407.616
       65536     761.493
      131072     1423.71
      262144      2804.6
      524288     5497.98
     1048576     10761.6
     2097152     22172.9
     4194304     43986.4
     8388608     87880.9
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=spsp datatype=string 
        size     Runtime
           2    0.308333
           4    0.541333
           8         0.5
          16    0.677333
          32       0.718
          64     1.33233
         128       2.886
         256     6.09333
         512     9.58567
        1024     20.5927
        2048      37.606
        4096     84.1987
        8192      131.35
       16384     276.795
       32768     538.503
       65536     1081.05
      131072     2058.76
      262144     4170.66
      524288     8352.55
     1048576     16668.4
     2097152       33542
     4194304     66915.3
     8388608      134315
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=spsp datatype=string 
        size     Runtime
           2       0.201
           4    0.268667
           8    0.417333
          16    0.629333
          32    0.659667
          64       1.249
         128     2.30433
         256       4.414
         512     9.69967
        1024     15.5493
        2048      32.834
        4096     70.6293
        8192     122.481
       16384     221.475
       32768     479.762
       65536     889.372
      131072     1708.57
      262144     3445.89
      524288     6849.79
     1048576     13550.6
     2097152     27478.4
     4194304     55363.6
     8388608      110411
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=spsp datatype=string 
        size     Runtime
           2    0.450333
           4       0.482
           8    0.351667
          16       0.403
          32    0.682333
          64       1.404
         128     2.71667
         256     5.22367
         512     8.58833
        1024      19.866
        2048     40.4627
        4096     89.2153
        8192     161.421
       16384     303.537
       32768      598.82
       65536     1166.31
      131072     2350.82
      262144     4838.59
      524288     9311.27
     1048576     19010.3
     2097152     38376.2
     4194304     76929.1
     8388608      152488
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=spsp datatype=string 
        size     Runtime
           2       0.312
           4    0.564667
           8    0.311333
          16       0.458
          32       0.638
          64     1.28633
         128       2.687
         256     4.87967
         512     8.79767
        1024      16.506
        2048     34.2837
        4096      72.204
        8192     131.557
       16384     252.279
       32768     500.602
       65536     979.223
      131072     1976.33
      262144     3703.24
      524288      7560.9
     1048576       14885
     2097152     30043.4
     4194304     61021.7
     8388608      121419
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=spsp datatype=string 
        size     Runtime
           2    0.523333
           4    0.843667
           8       0.704
          16    0.378667
          32    0.734667
          64     1.50467
         128     3.00333
         256     5.84167
         512     11.0863
        1024     21.1117
        2048     39.9493
        4096     88.4433
        8192     170.857
       16384     316.942
       32768     597.696
       65536     1262.22
      131072     2424.74
      262144     4906.55
      524288     9732.03
     1048576     19478.8
     2097152     39277.3
     4194304     78974.1
     8388608      157504
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=spsp datatype=string 
        size     Runtime
           2    0.266333
           4    0.247333
           8    0.239667
          16    0.504333
          32    0.662667
          64       1.286
         128     2.49833
         256       4.986
         512     9.02333
        1024     16.7163
        2048     35.0807
        4096      80.603
        8192     160.179
       16384     267.319
       32768     523.468
       65536     1000.93
      131072     1963.76
      262144     3906.11
      524288     7845.29
     1048576     15667.3
     2097152     31845.3
     4194304     63870.9
     8388608      128362
