model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=spspspsp datatype=string 
        size     Runtime
           2    0.205667
           4    0.360333
           8    0.470333
          16    0.706667
          32     1.59767
          64     1.95333
         128     6.03267
         256      10.224
         512     17.8483
        1024      55.256
        2048       84.64
        4096     143.697
        8192     327.947
       16384     607.482
       32768      1175.4
       65536     2663.25
      131072     5479.68
      262144     10644.7
      524288     18746.1
     1048576     40497.5
     2097152     85275.3
     4194304      165320
     8388608      330065
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=spspspsp datatype=string 
        size     Runtime
           2    0.226667
           4    0.266667
           8       0.342
          16    0.500333
          32     1.05467
          64     3.12967
         128     5.89733
         256      10.913
         512     17.1143
        1024      38.288
        2048      73.872
        4096     130.714
        8192     214.812
       16384     405.976
       32768     737.147
       65536     1465.81
      131072     2644.64
      262144     5384.73
      524288     11282.1
     1048576     21924.2
     2097152     42513.4
     4194304     82480.6
     8388608      164912
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=spspspsp datatype=string 
        size     Runtime
           2    0.516667
           4    0.678667
           8    0.675333
          16    0.954667
          32     1.27633
          64     1.74933
         128     4.73467
         256     6.89367
         512     12.3037
        1024      23.719
        2048       46.85
        4096     102.806
        8192     189.748
       16384     345.745
       32768     673.765
       65536     1219.03
      131072     2461.92
      262144     4904.05
      524288     9856.17
     1048576     19215.1
     2097152     39597.5
     4194304     76647.5
     8388608      152775
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=spspspsp datatype=string 
        size     Runtime
           2    0.415667
           4    0.566333
           8    0.599667
          16    0.510333
          32    0.725667
          64     1.47867
         128     2.50433
         256     4.70367
         512     9.09133
        1024     17.8207
        2048     33.5277
        4096     73.1083
        8192     138.455
       16384       248.4
       32768      468.99
       65536      921.62
      131072     1750.07
      262144     3512.07
      524288     6852.37
     1048576     13638.5
     2097152       27647
     4194304       54743
     8388608      110291
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=spspspsp datatype=string 
        size     Runtime
           2       0.366
           4    0.709667
           8       0.986
          16     1.20233
          32       0.953
          64     1.61867
         128        2.97
         256     5.14033
         512      10.427
        1024     19.6027
        2048     32.7157
        4096     81.0393
        8192     153.911
       16384     296.145
       32768     586.595
       65536     1225.68
      131072     2424.08
      262144     4760.13
      524288     9622.27
     1048576     18489.7
     2097152     37591.8
     4194304     76164.1
     8388608      147397
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=spspspsp datatype=string 
        size     Runtime
           2       0.639
           4    0.753333
           8    0.307333
          16        0.43
          32    0.756667
          64     1.22133
         128       2.323
         256       4.136
         512     7.92233
        1024     14.9023
        2048      26.031
        4096      62.771
        8192     147.065
       16384     253.449
       32768     460.681
       65536      916.31
      131072      1753.8
      262144     3588.55
      524288     7187.02
     1048576     14154.6
     2097152       28289
     4194304       57273
     8388608      115232
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=spspspsp datatype=string 
        size     Runtime
           2    0.192333
           4       0.625
           8    0.435333
          16    0.811333
          32    0.995333
          64       1.565
         128     2.76133
         256       5.632
         512     10.1887
        1024     18.0833
        2048      37.481
        4096     86.8533
        8192     179.628
       16384     336.928
       32768      597.23
       65536     1297.21
      131072      2493.2
      262144     5143.68
      524288     10013.8
     1048576     20165.3
     2097152     40999.4
     4194304     80227.8
     8388608      162782
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=spspspsp datatype=string 
        size     Runtime
           2       0.249
           4       0.229
           8    0.302333
          16    0.431333
          32        0.74
          64       1.857
         128       2.196
         256     4.16133
         512       7.734
        1024     13.4807
        2048      25.778
        4096      47.553
        8192     128.246
       16384       239.3
       32768     506.416
       65536     928.738
      131072     1856.52
      262144     3605.42
      524288     7406.86
     1048576     14528.6
     2097152     29310.8
     4194304     58529.5
     8388608      117361
