model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=spspspspspspspsp datatype=string 
        size     Runtime
           2    0.306667
           4    0.412667
           8    0.799667
          16       1.504
          32     3.19633
          64       5.706
         128     12.1567
         256     21.2927
         512      48.557
        1024     85.8887
        2048     170.042
        4096     281.872
        8192     569.821
       16384     1294.83
       32768     2740.89
       65536     4980.17
      131072     11725.8
      262144     20074.8
      524288     44251.1
     1048576     90300.1
     2097152      185165
     4194304      377469
     8388608      806964
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=spspspspspspspsp datatype=string 
        size     Runtime
           2    0.402667
           4    0.577667
           8       0.689
          16       1.078
          32     3.32067
          64         4.8
         128     9.11533
         256     19.7097
         512     41.0633
        1024        65.6
        2048     119.025
        4096      241.65
        8192     444.056
       16384     796.772
       32768      1515.7
       65536     2940.73
      131072     6303.88
      262144     11808.5
      524288     26274.8
     1048576     51770.9
     2097152     93944.8
     4194304      210217
     8388608      368677
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=spspspspspspspsp datatype=string 
        size     Runtime
           2       0.696
           4       0.974
           8     1.01567
          16       2.246
          32     3.56967
          64     5.92933
         128     12.8603
         256     12.1603
         512      24.391
        1024      49.731
        2048     88.3817
        4096     158.938
        8192      364.84
       16384     757.696
       32768     1348.99
       65536     2756.51
      131072     5600.39
      262144     11660.1
      524288     23781.8
     1048576     47753.5
     2097152     88865.9
     4194304      184582
     8388608      367386
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=spspspspspspspsp datatype=string 
        size     Runtime
           2       0.417
           4       0.635
           8     1.06733
          16     1.35033
          32       2.334
          64     2.41033
         128     4.68433
         256       9.077
         512     16.7077
        1024     35.3953
        2048      74.071
        4096     148.982
        8192     236.402
       16384     509.989
       32768     997.048
       65536     1904.64
      131072     3732.51
      262144     7478.22
      524288     15153.9
     1048576     29951.1
     2097152     61465.3
     4194304      123631
     8388608      244258
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=spspspspspspspsp datatype=string 
        size     Runtime
           2       0.764
           4     1.37633
           8     1.95533
          16     1.18333
          32     2.11767
          64     2.32333
         128     4.22467
         256       8.381
         512     15.5937
        1024     31.7557
        2048      65.382
        4096     123.999
        8192     267.655
       16384     508.454
       32768     981.473
       65536     1955.82
      131072     3853.37
      262144     7604.36
      524288     15353.2
     1048576       30601
     2097152     61060.4
     4194304      123419
     8388608      244701
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=spspspspspspspsp datatype=string 
        size     Runtime
           2       0.408
           4       0.821
           8       0.809
          16    0.675667
          32       1.034
          64        1.66
         128     3.22467
         256     6.03267
         512     11.4143
        1024     23.4633
        2048     47.8107
        4096     90.8093
        8192     191.958
       16384     389.484
       32768     756.398
       65536     1485.35
      131072     2817.31
      262144     5601.12
      524288     11179.2
     1048576     22915.2
     2097152     44757.6
     4194304     88348.1
     8388608      182071
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=spspspspspspspsp datatype=string 
        size     Runtime
           2    0.597667
           4     1.01467
           8    0.683667
          16    0.856333
          32     1.26033
          64       2.278
         128       4.241
         256     10.3113
         512      13.064
        1024      27.013
        2048     58.4257
        4096     116.179
        8192     241.757
       16384     486.155
       32768     957.557
       65536     1935.33
      131072     3757.66
      262144     7474.61
      524288     15140.2
     1048576     30234.9
     2097152       60456
     4194304      123032
     8388608      244170
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=spspspspspspspsp datatype=string 
        size     Runtime
           2    0.358333
           4       0.332
           8    0.562333
          16    0.572333
          32       1.046
          64       1.504
         128     2.63333
         256     4.88367
         512     9.04233
        1024     16.6367
        2048     36.1647
        4096     69.1983
        8192     172.946
       16384     327.863
       32768     586.363
       65536     1178.59
      131072     2352.75
      262144     4879.43
      524288     9656.35
     1048576     19411.9
     2097152     38850.5
     4194304     79640.6
     8388608      160795
