model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=ssss datatype=string 
        size     Runtime
           2    0.193333
           4        0.18
           8    0.187667
          16    0.318667
          32       0.606
          64     1.16033
         128     2.31933
         256     4.91467
         512      10.147
        1024     20.4617
        2048      43.417
        4096      75.113
        8192     141.535
       16384     284.931
       32768     505.219
       65536      1006.4
      131072     1892.32
      262144     3848.81
      524288     7177.02
     1048576     14532.8
     2097152     29138.5
     4194304     61647.3
     8388608      115177
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=ssss datatype=string 
        size     Runtime
           2    0.188333
           4    0.189667
           8    0.294667
          16    0.351667
          32       0.659
          64     1.21033
         128       2.305
         256     4.98367
         512     9.24333
        1024      16.375
        2048     33.0303
        4096     65.8903
        8192     127.361
       16384     227.926
       32768     413.703
       65536      752.89
      131072     1359.51
      262144     2583.64
      524288     5201.34
     1048576     10403.9
     2097152     20830.1
     4194304     42178.8
     8388608     84422.2
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=ssss datatype=string 
        size     Runtime
           2    0.314333
           4       0.278
           8       0.399
          16    0.740667
          32    0.929333
          64     1.52267
         128     2.14833
         256     4.12767
         512     7.33033
        1024     16.4547
        2048      31.668
        4096       59.92
        8192     118.566
       16384     222.823
       32768     431.891
       65536     862.356
      131072     1635.14
      262144     3204.49
      524288     6694.98
     1048576     12971.8
     2097152     26013.4
     4194304       52145
     8388608      104630
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=ssss datatype=string 
        size     Runtime
           2    0.195333
           4       0.315
           8    0.317333
          16    0.376667
          32       0.622
          64     1.01533
         128       1.984
         256       3.691
         512     7.37233
        1024     14.3323
        2048       26.22
        4096      55.787
        8192     117.145
       16384      201.46
       32768     387.188
       65536     736.609
      131072     1428.75
      262144     2816.91
      524288     5632.24
     1048576     11276.6
     2097152       22780
     4194304     46198.9
     8388608     92182.5
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=ssss datatype=string 
        size     Runtime
           2    0.204667
           4    0.536667
           8    0.333333
          16    0.988333
          32    0.737333
          64     1.36967
         128     2.15833
         256     3.44433
         512       6.585
        1024      11.986
        2048      27.233
        4096      57.134
        8192     120.657
       16384     214.096
       32768     420.561
       65536     795.659
      131072     1585.86
      262144     3083.76
      524288     6278.88
     1048576       12356
     2097152     24818.7
     4194304     49618.3
     8388608       99365
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=ssss datatype=string 
        size     Runtime
           2    0.222667
           4    0.393333
           8       0.893
          16    0.406333
          32    0.681667
          64       1.067
         128     1.99133
         256     3.72667
         512     7.08767
        1024       13.53
        2048     21.5133
        4096     57.2603
        8192     110.304
       16384     194.285
       32768     375.457
       65536     732.596
      131072     1370.74
      262144     2807.63
      524288     5719.47
     1048576     11000.8
     2097152     21975.8
     4194304       44177
     8388608     88974.8
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=ssss datatype=string 
        size     Runtime
           2    0.264667
           4     1.44267
           8    0.297667
          16    0.502667
          32    0.613667
          64     1.22967
         128       2.454
         256     4.46733
         512     7.21533
        1024     13.3163
        2048     25.2863
        4096      67.113
        8192     119.832
       16384     206.801
       32768     396.936
       65536     756.199
      131072     1444.98
      262144      2962.1
      524288     5750.28
     1048576     11709.2
     2097152     23544.7
     4194304     47258.3
     8388608     93968.7
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=ssss datatype=string 
        size     Runtime
           2    0.499333
           4    0.176667
           8       0.212
          16    0.612333
          32    0.917333
          64         1.2
         128     2.29867
         256     4.50067
         512     7.34967
        1024     14.3967
        2048     23.4573
        4096     49.3503
        8192       107.3
       16384     200.689
       32768     356.807
       65536     695.849
      131072     1376.08
      262144     2662.31
      524288     5334.37
     1048576     10688.5
     2097152     21352.1
     4194304       43202
     8388608     86178.2
