model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssss datatype=string 
        size     Runtime
           2        0.16
           4       0.198
           8    0.392667
          16    0.747333
          32     1.48267
          64     2.84367
         128     5.20933
         256     10.2687
         512     19.3253
        1024     42.4033
        2048      92.358
        4096     177.135
        8192     318.769
       16384     615.041
       32768     1170.84
       65536      2377.7
      131072      4673.6
      262144     9078.18
      524288     18023.8
     1048576     37108.4
     2097152     76659.5
     4194304      153345
     8388608      302740
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssss datatype=string 
        size     Runtime
           2    0.230667
           4        0.35
           8    0.460333
          16    0.706333
          32     1.12533
          64     2.31067
         128     5.14233
         256     8.49967
         512     16.6513
        1024     28.2293
        2048     59.2713
        4096     106.074
        8192     247.418
       16384      381.01
       32768     801.395
       65536     1449.18
      131072        2681
      262144     4979.58
      524288     10570.1
     1048576     20672.4
     2097152     43107.3
     4194304     85667.1
     8388608      172959
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssss datatype=string 
        size     Runtime
           2    0.292333
           4    0.733667
           8    0.727667
          16     1.12467
          32       1.605
          64     1.72467
         128     3.23267
         256     8.11967
         512     17.0553
        1024     25.5263
        2048      47.469
        4096     87.6233
        8192     196.372
       16384      356.21
       32768     645.242
       65536     1288.46
      131072     2549.65
      262144     5084.47
      524288     10093.6
     1048576     20146.2
     2097152       40451
     4194304     81676.5
     8388608      157184
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssss datatype=string 
        size     Runtime
           2       0.413
           4    0.522333
           8    0.853333
          16       0.697
          32    0.829333
          64     1.86567
         128     4.41567
         256        3.93
         512     9.45767
        1024      18.485
        2048      36.943
        4096     69.6697
        8192     137.442
       16384     260.297
       32768     479.151
       65536     904.536
      131072      1660.7
      262144      3368.2
      524288     6740.05
     1048576     13320.2
     2097152     26975.6
     4194304       53807
     8388608      107467
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssss datatype=string 
        size     Runtime
           2       0.613
           4       1.108
           8     1.38267
          16       0.836
          32     1.10733
          64     1.70267
         128       2.893
         256     4.89967
         512     12.3903
        1024     17.5947
        2048      33.738
        4096      76.573
        8192     139.997
       16384     254.527
       32768     540.022
       65536     1091.86
      131072     2013.82
      262144     4114.88
      524288     8106.37
     1048576       15860
     2097152     32012.8
     4194304     64340.7
     8388608      125665
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssss datatype=string 
        size     Runtime
           2    0.217667
           4       0.255
           8       0.734
          16       0.475
          32    0.674333
          64     1.14667
         128       2.904
         256     3.51633
         512       7.341
        1024     10.7297
        2048     23.3377
        4096      53.467
        8192     111.471
       16384     212.832
       32768     397.511
       65536     815.056
      131072     1559.01
      262144     3076.22
      524288     6183.88
     1048576     12407.8
     2097152       25169
     4194304     50287.9
     8388608      101267
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=ssssssss datatype=string 
        size     Runtime
           2       0.512
           4    0.839667
           8    0.415333
          16        0.64
          32       0.892
          64     1.61833
         128     2.63933
         256     4.58733
         512     8.35933
        1024      15.906
        2048      33.065
        4096     77.7537
        8192     126.096
       16384      230.82
       32768     515.736
       65536     940.877
      131072     1900.11
      262144     3779.22
      524288     7428.73
     1048576     15194.5
     2097152     30227.9
     4194304       61345
     8388608      120872
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=ssssssss datatype=string 
        size     Runtime
           2       0.284
           4    0.648667
           8    0.354333
          16       0.469
          32    0.761333
          64     1.17867
         128     2.06133
         256       3.793
         512     7.54433
        1024      12.471
        2048     21.7443
        4096     41.6017
        8192     109.096
       16384       213.9
       32768     402.208
       65536      775.63
      131072     1525.16
      262144     3036.85
      524288     6018.36
     1048576     11826.3
     2097152     24287.4
     4194304     48433.9
     8388608     97347.2
