model=normal num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssssssssssss datatype=string 
        size     Runtime
           2       0.181
           4    0.207333
           8       0.684
          16     1.05767
          32     2.03767
          64     3.94533
         128     9.73933
         256     22.5757
         512     48.2423
        1024     98.4273
        2048     172.717
        4096     311.637
        8192     625.194
       16384     1343.79
       32768     2744.89
       65536     5447.92
      131072       10219
      262144     20353.9
      524288     43925.6
     1048576     85215.1
     2097152      168506
     4194304      344806
     8388608      653797
model=efficient num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssssssssssss datatype=string 
        size     Runtime
           2    0.351667
           4    0.564333
           8       1.269
          16     1.81867
          32     2.25433
          64       6.282
         128       8.909
         256     15.4137
         512      35.087
        1024     65.4507
        2048     112.074
        4096     218.777
        8192     437.584
       16384     842.528
       32768     1668.98
       65536     3315.19
      131072     6315.51
      262144       12273
      524288     26057.3
     1048576     51996.5
     2097152      104228
     4194304      207861
     8388608      426119
model=normal num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssssssssssss datatype=string 
        size     Runtime
           2       0.554
           4    0.394667
           8       1.376
          16     2.32667
          32     3.37767
          64     4.88733
         128     6.26967
         256      12.387
         512      24.589
        1024     46.4693
        2048     102.337
        4096     154.367
        8192     342.477
       16384     625.814
       32768     1339.54
       65536     2715.79
      131072     5505.61
      262144     10120.3
      524288     19481.7
     1048576     42455.9
     2097152     80090.8
     4194304      177562
     8388608      355195
model=efficient num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssssssssssss datatype=string 
        size     Runtime
           2    0.481667
           4    0.798667
           8     1.14467
          16       1.591
          32     1.91733
          64     3.05933
         128       6.318
         256     9.84367
         512      17.939
        1024     35.9653
        2048      75.596
        4096     150.268
        8192     275.946
       16384     481.943
       32768     938.011
       65536     1817.34
      131072     3630.24
      262144     7321.01
      524288     14507.5
     1048576       29361
     2097152     58059.2
     4194304      113149
     8388608      237627
model=normal num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssssssssssss datatype=string 
        size     Runtime
           2     1.37133
           4    0.593333
           8     1.14367
          16     1.71167
          32       1.929
          64       2.514
         128     4.52267
         256     8.39833
         512     15.2227
        1024     31.0477
        2048     63.5047
        4096     126.624
        8192     253.494
       16384     505.872
       32768     1032.09
       65536     2003.44
      131072     3959.16
      262144     7909.56
      524288     15054.6
     1048576     29996.2
     2097152       62824
     4194304      125765
     8388608      255281
model=efficient num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssssssssssss datatype=string 
        size     Runtime
           2    0.317333
           4       0.688
           8       0.568
          16    0.763667
          32       1.167
          64     1.78533
         128       3.253
         256     6.05833
         512     11.0597
        1024      21.765
        2048     42.1267
        4096     88.6873
        8192     200.998
       16384     371.411
       32768     703.723
       65536     1398.62
      131072     2724.03
      262144      5231.6
      524288     10770.3
     1048576     21315.2
     2097152     42926.3
     4194304     85458.4
     8388608      175245
model=normal num_threads=24 num_rounds=3 num_lines=24 pipes=ssssssssssssssss datatype=string 
        size     Runtime
           2    0.637667
           4    0.457333
           8       0.617
          16       0.901
          32     1.36367
          64     2.07967
         128     3.54067
         256     6.36633
         512     12.0883
        1024     23.4037
        2048      53.526
        4096     98.5113
        8192     219.831
       16384     423.284
       32768     783.523
       65536     1625.82
      131072     3179.29
      262144     6278.22
      524288     12607.6
     1048576     25520.5
     2097152     51618.7
     4194304      103149
     8388608      204187
model=efficient num_threads=24 num_rounds=3 num_lines=24 pipes=ssssssssssssssss datatype=string 
        size     Runtime
           2    0.230333
           4       0.358
           8    0.456667
          16    0.670667
          32       0.858
          64     1.44933
         128     2.56133
         256     4.44933
         512     8.62833
        1024     17.1883
        2048     31.8863
        4096     67.5477
        8192     132.619
       16384     309.342
       32768     593.074
       65536     1136.03
      131072     2326.11
      262144     4537.84
      524288     9011.73
     1048576     18019.5
     2097152     36308.5
     4194304     74036.6
     8388608      148785
