model=tf num_threads=1 num_rounds=3 num_lines=1 pipes=sppp 
        size     Runtime
           2    0.126667
           4   0.0883333
           8    0.141667
          16    0.259667
          32       0.484
          64       1.488
         128     3.04367
         256     3.22033
         512     8.38267
        1024     21.0383
        2048          53
        4096     93.8727
        8192     160.035
       16384     258.102
       32768     448.237
       65536      826.37
      131072     1602.32
      262144      3144.1
      524288     6905.18
     1048576       12195
     2097152     24337.4
     4194304     48642.9
     8388608     97147.2
model=tbb num_threads=1 num_rounds=3 num_lines=1 pipes=sppp 
        size     Runtime
           2    0.369333
           4    0.344667
           8    0.689667
          16     1.36033
          32     2.53167
          64     4.79933
         128     8.53833
         256      14.341
         512     22.1007
        1024      38.913
        2048      77.803
        4096     144.433
        8192     270.931
       16384      541.76
       32768     1088.21
       65536        2183
      131072      4330.2
      262144     8658.24
      524288     17316.1
     1048576     34641.7
     2097152     69310.7
     4194304      138696
     8388608      277183
model=tf num_threads=2 num_rounds=3 num_lines=2 pipes=sppp 
        size     Runtime
           2    0.224333
           4       0.116
           8    0.166667
          16       0.293
          32    0.537333
          64     1.03267
         128     2.02167
         256     3.73933
         512     7.31267
        1024      13.524
        2048      29.853
        4096     54.3473
        8192      91.104
       16384      162.68
       32768     265.168
       65536     461.903
      131072     885.007
      262144     1673.76
      524288     3609.18
     1048576     6471.13
     2097152     12835.2
     4194304     25539.4
     8388608     50943.6
model=tbb num_threads=2 num_rounds=3 num_lines=2 pipes=sppp 
        size     Runtime
           2       0.332
           4    0.119333
           8    0.129333
          16    0.264333
          32    0.487667
          64    0.963333
         128     1.88267
         256     3.54367
         512       6.524
        1024      11.189
        2048      20.857
        4096      30.218
        8192     51.1433
       16384     99.1857
       32768     196.128
       65536     388.893
      131072     756.785
      262144     1530.32
      524288      3078.2
     1048576      6112.7
     2097152     12054.4
     4194304     35638.6
     8388608     48159.8
model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=sppp 
        size     Runtime
           2    0.203333
           4    0.161667
           8    0.130667
          16    0.198333
          32       0.311
          64    0.574667
         128     1.06567
         256       1.993
         512     3.90833
        1024       7.131
        2048     12.2097
        4096     27.4297
        8192     56.4217
       16384     93.4997
       32768     199.081
       65536      313.72
      131072     647.148
      262144     866.926
      524288     2336.56
     1048576     4246.73
     2097152     6956.54
     4194304     13509.4
     8388608     27035.5
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=sppp 
        size     Runtime
           2    0.229333
           4    0.355333
           8    0.694667
          16       0.426
          32    0.346667
          64    0.605333
         128     1.13967
         256       2.036
         512     3.86333
        1024     6.92833
        2048     12.2783
        4096          20
        8192       32.92
       16384     70.8143
       32768     137.039
       65536     261.499
      131072     501.281
      262144     1091.44
      524288     1930.52
     1048576     3798.47
     2097152     7851.78
     4194304     15478.3
     8388608     30172.6
model=tf num_threads=24 num_rounds=3 num_lines=24 pipes=sppp 
        size     Runtime
           2    0.244333
           4    0.170333
           8    0.199667
          16       0.238
          32       0.614
          64    0.742333
         128       0.609
         256       1.069
         512       1.737
        1024        3.38
        2048     5.99633
        4096     11.1963
        8192     22.3697
       16384      37.953
       32768     88.5597
       65536     178.981
      131072     330.833
      262144     735.504
      524288     1344.49
     1048576     2682.36
     2097152     5312.42
     4194304     10471.5
     8388608     21013.1
model=tbb num_threads=24 num_rounds=3 num_lines=24 pipes=sppp 
        size     Runtime
           2       0.208
           4    0.133333
           8       0.322
          16    0.470333
          32    0.347333
          64       0.396
         128       0.567
         256    0.782333
         512       1.426
        1024     2.64567
        2048       5.042
        4096     9.57967
        8192     17.5027
       16384     32.4133
       32768      64.238
       65536     127.926
      131072     255.674
      262144     511.482
      524288     1022.92
     1048576     2075.06
     2097152     4150.26
     4194304     8304.11
     8388608     16633.5
