model=tf num_threads=1 num_rounds=3 num_lines=1 pipes=sppppppp 
        size     Runtime
           2    0.219333
           4    0.155667
           8       0.296
          16       0.587
          32     1.25367
          64     2.42633
         128     4.78033
         256     11.7333
         512      23.799
        1024     67.5887
        2048     121.894
        4096     180.875
        8192     293.697
       16384     581.536
       32768     1092.67
       65536     2127.71
      131072     4188.06
      262144     8322.28
      524288       18132
     1048576     33064.1
     2097152     66028.4
     4194304      132083
     8388608      263818
model=tbb num_threads=1 num_rounds=3 num_lines=1 pipes=sppppppp 
        size     Runtime
           2    0.524667
           4    0.691667
           8     1.37067
          16     2.64267
          32       4.948
          64     8.80967
         128     14.9203
         256     20.9323
         512      39.491
        1024     79.0287
        2048     157.938
        4096     315.587
        8192     631.139
       16384     1262.56
       32768     2524.13
       65536     5048.57
      131072     10103.1
      262144     20272.4
      524288     40423.2
     1048576     80783.6
     2097152      161612
     4194304      323288
     8388608      646620
model=tf num_threads=2 num_rounds=3 num_lines=2 pipes=sppppppp 
        size     Runtime
           2       0.346
           4       0.298
           8    0.421333
          16    0.793667
          32     1.42167
          64     2.57067
         128       5.078
         256        9.09
         512      17.996
        1024     32.5897
        2048      73.397
        4096     127.155
        8192     234.889
       16384     369.205
       32768     634.049
       65536     1177.19
      131072     2265.96
      262144     4456.02
      524288     9686.85
     1048576     17794.3
     2097152     34994.6
     4194304     69132.2
     8388608      138082
model=tbb num_threads=2 num_rounds=3 num_lines=2 pipes=sppppppp 
        size     Runtime
           2    0.414667
           4    0.249333
           8    0.609667
          16     1.00567
          32       1.852
          64       3.567
         128     6.27467
         256      10.896
         512      20.067
        1024     36.8217
        2048      49.004
        4096      90.839
        8192     181.664
       16384     362.981
       32768     726.284
       65536     1467.24
      131072     2902.05
      262144     5802.32
      524288     11623.2
     1048576       23224
     2097152       46451
     4194304     92938.4
     8388608      185749
model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppp 
        size     Runtime
           2       0.282
           4    0.159667
           8       0.453
          16       0.707
          32    0.799667
          64       1.501
         128       3.451
         256       4.978
         512     10.0023
        1024     19.0167
        2048      50.033
        4096      73.976
        8192     137.834
       16384     226.083
       32768      449.47
       65536     799.334
      131072     1226.03
      262144     2796.39
      524288     4907.82
     1048576     9701.27
     2097152     18931.1
     4194304     36274.3
     8388608     70926.2
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppp 
        size     Runtime
           2    0.462333
           4    0.213333
           8    0.418667
          16    0.590333
          32    0.847667
          64     1.61167
         128       3.054
         256     5.59667
         512     10.0457
        1024     16.7163
        2048      31.182
        4096     61.4753
        8192     109.593
       16384     194.012
       32768      377.14
       65536     753.855
      131072     2556.04
      262144     2991.87
      524288        5846
     1048576     14807.1
     2097152     23429.7
     4194304     60330.7
     8388608       77428
model=tf num_threads=24 num_rounds=3 num_lines=24 pipes=sppppppp 
        size     Runtime
           2       0.341
           4       0.468
           8        0.33
          16       0.453
          32    0.562333
          64       0.932
         128       1.139
         256     2.29967
         512     3.17567
        1024     4.52867
        2048       9.448
        4096     21.5683
        8192     31.0447
       16384     107.442
       32768     110.732
       65536      216.17
      131072     432.641
      262144     746.332
      524288     1446.12
     1048576     2766.81
     2097152     5530.15
     4194304     10967.5
     8388608     21956.2
model=tbb num_threads=24 num_rounds=3 num_lines=24 pipes=sppppppp 
        size     Runtime
           2    0.424333
           4       0.106
           8    0.402333
          16    0.303667
          32       0.395
          64    0.362333
         128    0.458333
         256    0.866333
         512     1.58067
        1024     3.11333
        2048       5.817
        4096     11.5947
        8192     22.5113
       16384     44.2503
       32768     87.9603
       65536      176.26
      131072     351.725
      262144       703.5
      524288     1410.39
     1048576     2822.17
     2097152     5639.53
     4194304     11258.1
     8388608     22538.9
