model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppppppppppp 
        size     Runtime
           2    0.141667
           4    0.119333
           8       0.209
          16    0.368667
          32    0.649667
          64     1.90233
         128       4.259
         256      10.651
         512     16.6793
        1024     26.1913
        2048      42.816
        4096     79.6873
        8192     144.187
       16384     275.149
       32768     546.012
       65536     1103.07
      131072     2156.31
      262144     4272.18
      524288      8464.1
     1048576     16712.7
     2097152     33429.1
     4194304     66998.5
     8388608      133487
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppppppppppp 
        size     Runtime
           2    0.546667
           4    0.258333
           8       0.445
          16       0.675
          32     1.69733
          64     2.04667
         128       3.457
         256     6.88733
         512     13.1483
        1024     18.4837
        2048     31.9237
        4096     63.7137
        8192     125.654
       16384     247.266
       32768     483.396
       65536     966.931
      131072     1932.87
      262144     3864.17
      524288     7735.43
     1048576       15474
     2097152     30952.7
     4194304     61868.7
     8388608      123749
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppppppppppp 
        size     Runtime
           2       0.362
           4    0.301333
           8    0.414333
          16    0.531667
          32     1.07533
          64     1.90833
         128       3.897
         256     6.63067
         512     12.7897
        1024     20.0907
        2048     34.9943
        4096     63.2703
        8192     123.016
       16384     224.742
       32768     303.609
       65536     570.036
      131072     1125.74
      262144     2330.51
      524288     4549.03
     1048576     8898.89
     2097152     17643.9
     4194304     34948.8
     8388608     69843.7
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppppppppppp 
        size     Runtime
           2    0.602667
           4       0.303
           8       0.295
          16    0.564333
          32       0.959
          64       1.629
         128       1.987
         256       3.504
         512       6.946
        1024     13.8367
        2048      20.295
        4096     33.3277
        8192     66.3307
       16384     130.198
       32768     258.399
       65536     512.969
      131072      1022.5
      262144      2045.4
      524288     4086.69
     1048576     8168.39
     2097152     16336.8
     4194304     32668.5
     8388608     65331.5
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppppppppppp 
        size     Runtime
           2    0.373333
           4       0.332
           8    0.372667
          16       0.542
          32    0.720333
          64       1.362
         128     2.08533
         256     3.56267
         512     6.01067
        1024       10.27
        2048      22.666
        4096      41.498
        8192      74.458
       16384     162.314
       32768     256.442
       65536     365.875
      131072     724.401
      262144     1349.48
      524288     2735.11
