model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=spsp 
        size     Runtime
           2   0.0753333
           4   0.0786667
           8   0.0686667
          16   0.0826667
          32    0.144667
          64    0.260333
         128       0.557
         256        0.96
         512     1.86333
        1024       4.405
        2048     9.90367
        4096      21.969
        8192     55.9177
       16384     118.137
       32768     233.204
       65536     410.837
      131072     691.632
      262144     1150.13
      524288      2241.7
     1048576     4041.64
     2097152      7487.5
     4194304     13423.3
     8388608     29031.7
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=spsp 
        size     Runtime
           2       0.317
           4   0.0933333
           8       0.155
          16       0.261
          32    0.453333
          64    0.974667
         128     2.34433
         256     4.42767
         512       7.984
        1024      13.761
        2048     22.1753
        4096      43.829
        8192     83.0823
       16384     153.866
       32768     255.261
       65536     448.251
      131072      1161.6
      262144     1863.67
      524288     3600.76
     1048576     7537.17
     2097152     14577.3
     4194304       32963
     8388608     65638.8
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=spsp 
        size     Runtime
           2    0.296667
           4       0.247
           8    0.168333
          16       0.177
          32    0.293333
          64       1.093
         128     1.67367
         256     1.96867
         512     4.91767
        1024     8.34333
        2048       13.85
        4096     26.1287
        8192     49.7717
       16384     92.3907
       32768      170.39
       65536     278.313
      131072      554.59
      262144     1040.94
      524288        2046
     1048576     4020.02
     2097152     7932.64
     4194304     15617.6
     8388608     31341.4
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=spsp 
        size     Runtime
           2    0.312333
           4       0.105
           8    0.115667
          16    0.203667
          32       0.354
          64    0.622667
         128           1
         256       1.984
         512       3.843
        1024       7.425
        2048     14.1963
        4096      25.853
        8192     45.0047
       16384     85.2263
       32768     170.758
       65536     330.444
      131072     666.735
      262144     1332.73
      524288     2646.02
     1048576     5328.04
     2097152     10592.4
     4194304     21142.2
     8388608     42290.5
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=spsp 
        size     Runtime
           2    0.193667
           4    0.112333
           8    0.166667
          16       0.241
          32    0.323667
          64    0.472333
         128    0.941333
         256       1.697
         512     3.57667
        1024     6.63433
        2048     12.4617
        4096     24.0503
        8192      50.923
       16384     108.963
       32768     222.272
       65536       429.1
      131072     799.726
      262144     1505.94
      524288     2984.79
     1048576     5947.26
     2097152     11838.8
     4194304     23902.3
     8388608     47400.7
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=spsp 
        size     Runtime
           2       0.336
           4    0.195333
           8        0.17
          16       2.746
          32       0.308
          64       0.532
         128       1.024
         256       1.899
         512     3.61033
        1024     6.82567
        2048      12.317
        4096     22.1027
        8192      41.122
       16384     86.2337
       32768     156.101
       65536     309.524
      131072     616.874
      262144     1320.77
      524288     2578.95
     1048576     5214.82
     2097152     10383.1
     4194304     20537.9
     8388608     40415.2
model=tf num_threads=24 num_rounds=3 num_lines=24 pipes=spsp 
        size     Runtime
           2    0.152667
           4       0.089
           8    0.149667
          16       0.206
          32    0.235667
          64    0.421667
         128    0.913667
         256     1.53633
         512       3.085
        1024     6.56233
        2048     13.6733
        4096      24.259
        8192     51.9447
       16384     122.268
       32768     234.587
       65536     460.596
      131072      862.16
      262144     1680.31
      524288     3415.49
     1048576     6680.94
     2097152     13413.8
     4194304     26672.4
     8388608     53374.4
model=tbb num_threads=24 num_rounds=3 num_lines=24 pipes=spsp 
        size     Runtime
           2    0.318667
           4    0.132667
           8    0.232333
          16    0.310333
          32    0.291667
          64    0.880333
         128       1.431
         256     2.67667
         512     5.04667
        1024     9.17333
        2048     16.3603
        4096      28.065
        8192     53.6233
       16384     105.247
       32768     210.055
       65536     418.809
      131072      849.21
      262144     1750.02
      524288     3359.98
     1048576     6559.78
     2097152     13228.9
     4194304     26906.3
     8388608     53709.7
