model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=spspspsp 
        size     Runtime
           2   0.0993333
           4   0.0876667
           8    0.129667
          16    0.210333
          32    0.439667
          64    0.802667
         128       1.945
         256       4.669
         512     10.1333
        1024     16.1733
        2048     25.0207
        4096     41.7473
        8192      75.977
       16384     137.531
       32768     278.003
       65536     542.941
      131072     1088.18
      262144     2173.79
      524288     4302.03
     1048576     8677.48
     2097152     16974.2
     4194304     33824.6
     8388608     67233.5
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=spspspsp 
        size     Runtime
           2    0.402667
           4    0.243333
           8    0.295333
          16    0.510667
          32    0.984667
          64     1.86933
         128     2.41633
         256     3.64567
         512       6.926
        1024      13.735
        2048     24.6103
        4096      34.347
        8192       71.18
       16384     203.959
       32768     361.053
       65536     723.111
      131072     1457.44
      262144     2953.18
      524288     5935.78
     1048576     11780.1
     2097152     23141.9
     4194304     46907.8
     8388608     94077.9
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=spspspsp 
        size     Runtime
           2    0.250333
           4       0.213
           8    0.359333
          16    0.493333
          32    0.797333
          64     1.51333
         128     2.51233
         256        4.75
         512     7.45933
        1024      13.866
        2048     24.5513
        4096     48.0473
        8192      89.007
       16384     172.416
       32768     258.092
       65536     476.859
      131072     952.485
      262144     1946.61
      524288     3953.04
     1048576     8012.29
     2097152     15956.4
     4194304     31941.1
     8388608     63779.1
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=spspspsp 
        size     Runtime
           2       0.463
           4    0.200667
           8    0.266333
          16    0.462333
          32    0.871667
          64       1.527
         128     2.04533
         256     3.64267
         512     7.66633
        1024     13.4713
        2048     21.9897
        4096      44.824
        8192     81.0803
       16384     164.029
       32768      335.69
       65536     669.655
      131072     1336.88
      262144     2674.36
      524288      5354.4
     1048576     10723.2
     2097152       21450
     4194304       42826
     8388608     85710.8
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=spspspsp 
        size     Runtime
           2       0.238
           4       0.251
           8    0.267333
          16    0.586333
          32    0.861667
          64       2.026
         128     2.62367
         256       5.272
         512     8.02367
        1024     16.9143
        2048     27.0887
        4096      49.981
        8192     100.655
       16384     182.277
       32768     308.733
       65536     570.117
      131072     1133.18
      262144     2313.38
      524288     4688.23
     1048576     9358.05
     2097152     18786.7
     4194304       37483
     8388608       74973
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=spspspsp 
        size     Runtime
           2    0.439333
           4    0.184333
           8    0.300333
          16    0.496333
          32       0.835
          64       1.542
         128     1.94833
         256     3.41233
         512       7.511
        1024      13.901
        2048     23.6367
        4096      40.385
        8192      80.131
       16384     160.279
       32768     319.753
       65536     618.581
      131072     1214.14
      262144     2419.72
      524288     4861.38
     1048576     9719.07
     2097152     19383.1
     4194304     38757.5
     8388608     77486.1
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=spspspsp 
        size     Runtime
           2    0.287667
           4    0.262667
           8    0.366333
          16    0.514667
          32       0.882
          64     1.66867
         128     2.83867
         256     4.92567
         512     10.4663
        1024      15.873
        2048     27.9177
        4096     54.5443
        8192      96.514
       16384     192.652
       32768      336.81
       65536     640.183
      131072     1295.49
      262144     2598.16
      524288     5257.82
     1048576     10600.8
     2097152     21132.7
     4194304     41903.2
     8388608     84026.9
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=spspspsp 
        size     Runtime
           2    0.389667
           4    0.255667
           8        0.29
          16    0.488333
          32    0.838667
          64     1.36267
         128     1.88867
         256     3.59767
         512     6.41967
        1024      13.603
        2048     24.6443
        4096     46.0763
        8192     90.1927
       16384       180.9
       32768     343.605
       65536     683.666
      131072     1380.43
      262144     2757.31
      524288      5490.7
     1048576     10999.1
     2097152     22014.2
     4194304     43884.4
     8388608     87701.4
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=spspspsp 
        size     Runtime
           2    0.275667
           4    0.220667
           8    0.348667
          16    0.510333
          32     1.05233
          64     1.75467
         128     2.82967
         256       5.825
         512     10.7107
        1024      17.584
        2048     28.2547
        4096     54.3063
        8192      93.693
       16384     188.271
       32768     380.515
       65536     720.858
      131072     1493.16
      262144      3045.1
      524288     6132.73
     1048576     12511.4
     2097152     24851.5
     4194304     49449.5
     8388608     98511.7
