model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=spspspspspspspsp 
        size     Runtime
           2       0.194
           4    0.145333
           8       0.196
          16    0.349667
          32    0.682667
          64       1.229
         128       2.279
         256       4.616
         512     9.49333
        1024     35.8463
        2048      76.392
        4096     140.644
        8192     265.974
       16384      461.44
       32768     761.752
       65536      1493.1
      131072     2782.78
      262144     5217.22
      524288     10618.6
     1048576     18244.3
     2097152       35847
     4194304     72173.5
     8388608      143670
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=spspspspspspspsp 
        size     Runtime
           2       0.726
           4    0.488667
           8    0.865333
          16     1.29033
          32       2.262
          64       4.294
         128     10.3457
         256     19.4913
         512      28.851
        1024     56.3637
        2048     71.6653
        4096     137.241
        8192     270.381
       16384      601.08
       32768     1189.04
       65536     1210.78
      131072     4281.99
      262144     8598.47
      524288     18503.1
     1048576     36950.7
     2097152     69013.1
     4194304      149727
     8388608      312962
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=spspspspspspspsp 
        size     Runtime
           2       0.682
           4    0.835333
           8     1.14367
          16     1.35967
          32     1.97033
          64       3.058
         128     2.87833
         256     5.35067
         512      10.124
        1024     21.0633
        2048     38.9397
        4096     76.0887
        8192      134.53
       16384      258.69
       32768      499.38
       65536     706.082
      131072     1663.65
      262144     2917.76
      524288     6106.26
     1048576     10587.9
     2097152     20718.3
     4194304     41762.6
     8388608     82564.4
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=spspspspspspspsp 
        size     Runtime
           2       0.835
           4       0.445
           8       0.538
          16    0.930667
          32     1.55167
          64     2.59467
         128     4.70433
         256     9.33267
         512      15.446
        1024     30.7817
        2048      64.574
        4096     103.309
        8192     179.907
       16384       395.7
       32768     678.544
       65536     1484.02
      131072     2835.28
      262144     5482.36
      524288     11525.6
     1048576     22415.6
     2097152     44835.7
     4194304     85515.4
     8388608      169534
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=spspspspspspspsp 
        size     Runtime
           2    0.719667
           4    0.302667
           8       0.383
          16    0.562667
          32     1.05133
          64     1.37733
         128        2.13
         256       3.729
         512       7.329
        1024      15.598
        2048      25.321
        4096      46.753
        8192      95.385
       16384     190.408
       32768     359.031
       65536      686.79
      131072     1326.55
      262144     2638.75
      524288     5314.93
     1048576     10442.9
     2097152     20840.6
     4194304     41518.9
     8388608     83201.2
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=spspspspspspspsp 
        size     Runtime
           2     1.05567
           4    0.615333
           8    0.513333
          16       0.596
          32     1.02767
          64     1.62933
         128     2.82067
         256     5.13467
         512       8.902
        1024     15.1713
        2048     24.6307
        4096     46.9167
        8192      93.749
       16384     195.545
       32768     383.932
       65536     736.871
      131072     1516.71
      262144     2953.36
      524288     5927.61
     1048576       11791
     2097152     23455.6
     4194304     47343.1
     8388608     94475.2
model=tf num_threads=24 num_rounds=3 num_lines=24 pipes=spspspspspspspsp 
        size     Runtime
           2       0.385
           4        0.33
           8       0.878
          16       0.771
          32        0.61
          64    0.913667
         128     1.65867
         256     3.15833
         512     5.92333
        1024      11.294
        2048     21.6643
        4096      40.037
        8192     95.2843
       16384     219.507
       32768     377.334
       65536     726.236
      131072     1394.06
      262144      2698.9
      524288     5445.26
     1048576     10673.3
     2097152     21440.5
     4194304     42908.3
     8388608     85623.5
model=tbb num_threads=24 num_rounds=3 num_lines=24 pipes=spspspspspspspsp 
        size     Runtime
           2       0.526
           4    0.657333
           8    0.791333
          16    0.352667
          32       0.529
          64    0.883333
         128     1.52933
         256     2.89067
         512     5.40433
        1024     10.2743
        2048     19.0017
        4096      35.909
        8192     70.5713
       16384     141.172
       32768     282.209
       65536     564.325
      131072     1126.94
      262144     2252.16
      524288     4501.71
     1048576     9010.81
     2097152     17997.5
     4194304     35988.4
     8388608     72001.1
