model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=ssss 
        size     Runtime
           2    0.176667
           4    0.145667
           8       0.228
          16    0.408333
          32    0.726333
          64     1.40467
         128       2.642
         256     4.95033
         512     6.77433
        1024     14.6507
        2048      25.803
        4096      49.439
        8192      93.269
       16384     180.949
       32768     245.445
       65536      438.39
      131072     873.833
      262144     1780.55
      524288     3590.64
     1048576     7272.61
     2097152     14524.6
     4194304     29084.8
     8388608     57877.3
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=ssss 
        size     Runtime
           2    0.335667
           4    0.151667
           8       0.213
          16    0.407333
          32    0.814333
          64     1.44967
         128     2.00733
         256     3.60267
         512     7.09133
        1024     13.4173
        2048     24.6873
        4096     35.6327
        8192     70.9943
       16384     150.205
       32768     288.093
       65536     592.184
      131072     1162.49
      262144      2328.6
      524288     4663.51
     1048576     9335.38
     2097152     18679.8
     4194304     37169.2
     8388608     74367.2
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=ssss 
        size     Runtime
           2       0.174
           4       0.156
           8       0.241
          16    0.330333
          32    0.632667
          64       1.443
         128       2.776
         256       5.095
         512     8.06433
        1024      15.467
        2048        26.4
        4096     49.5723
        8192     87.8047
       16384     170.782
       32768     327.938
       65536     518.365
      131072     939.814
      262144     1940.89
      524288     3934.87
     1048576     7659.01
     2097152     15577.1
     4194304       30735
     8388608     61841.6
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=ssss 
        size     Runtime
           2       0.338
           4    0.172667
           8    0.281333
          16       0.364
          32    0.727333
          64     1.36367
         128     2.02367
         256     3.67967
         512     7.27467
        1024     14.5657
        2048     25.1973
        4096     38.3243
        8192      78.217
       16384     156.581
       32768     324.464
       65536     645.235
      131072     1310.21
      262144     2609.28
      524288     5221.36
     1048576     10494.7
     2097152     20915.5
     4194304     41906.5
     8388608     83878.4
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=ssss 
        size     Runtime
           2    0.146333
           4       0.129
           8    0.217333
          16       0.336
          32       0.679
          64       1.381
         128     2.58467
         256       4.533
         512     8.70267
        1024     15.6753
        2048       24.29
        4096     48.2603
        8192      93.991
       16384     176.249
       32768     316.413
       65536     525.785
      131072      1004.8
      262144      2046.4
      524288     4129.35
     1048576     8162.77
     2097152     16252.7
     4194304     32241.7
     8388608     64581.7
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=ssss 
        size     Runtime
           2    0.187667
           4    0.102667
           8    0.188333
          16       0.341
          32    0.623333
          64       1.155
         128     1.85033
         256       2.851
         512     5.48533
        1024     10.7873
        2048     19.9173
        4096     36.4677
        8192     73.6267
       16384     141.973
       32768     282.354
       65536     556.174
      131072     1073.19
      262144     2131.67
      524288     4273.19
     1048576     8554.44
     2097152     17101.8
     4194304     34224.9
     8388608     68452.9
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=ssss 
        size     Runtime
           2    0.191667
           4    0.153333
           8       0.213
          16    0.414667
          32    0.722333
          64     1.26733
         128     2.82067
         256       5.023
         512       9.249
        1024     16.1593
        2048      24.111
        4096      45.243
        8192      90.885
       16384      164.53
       32768      297.44
       65536     540.511
      131072     1060.93
      262144     2142.49
      524288     4323.58
     1048576     8630.06
     2097152     17175.9
     4194304       34143
     8388608     68065.7
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=ssss 
        size     Runtime
           2       0.248
           4    0.127333
           8       0.242
          16    0.361667
          32       0.653
          64    0.921333
         128     1.66967
         256       2.981
         512     5.89167
        1024      10.981
        2048      20.772
        4096     37.5877
        8192      73.577
       16384      144.66
       32768     285.638
       65536     567.401
      131072      1113.9
      262144     2276.94
      524288     4550.42
     1048576     9090.44
     2097152     18194.8
     4194304     36280.2
     8388608     72727.1
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=ssss 
        size     Runtime
           2    0.186667
           4       0.129
           8    0.262333
