model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssss 
        size     Runtime
           2    0.106667
           4    0.100667
           8    0.137667
          16    0.256667
          32    0.424667
          64       0.802
         128     1.96633
         256     4.72633
         512       8.416
        1024     15.4533
        2048     25.5703
        4096       42.08
        8192      79.134
       16384     142.092
       32768     273.934
       65536     550.446
      131072     1101.35
      262144     2179.95
      524288     4353.55
     1048576     8682.81
     2097152       17113
     4194304       33939
     8388608       68185
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssss 
        size     Runtime
           2    0.438667
           4    0.185333
           8    0.306667
          16       0.558
          32    0.973667
          64       1.885
         128     3.40667
         256     4.21067
         512     8.28067
        1024      16.698
        2048      32.827
        4096     52.4093
        8192      94.893
       16384     197.252
       32768     359.546
       65536      725.23
      131072     1429.89
      262144     2884.07
      524288     5763.04
     1048576     11581.5
     2097152     23008.6
     4194304     46268.8
     8388608     91999.9
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssss 
        size     Runtime
           2    0.291333
           4    0.256333
           8       0.403
          16    0.550667
          32    0.882333
          64     1.56133
         128     2.33567
         256       4.401
         512       7.205
        1024     14.1363
        2048     24.8863
        4096      44.709
        8192      87.067
       16384     167.124
       32768     254.219
       65536      477.79
      131072     953.249
      262144     1953.79
      524288     3970.55
     1048576     7978.94
     2097152     15893.3
     4194304     31654.2
     8388608     63662.7
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssss 
        size     Runtime
           2    0.471333
           4       0.335
           8    0.360333
          16    0.542667
          32     1.00033
          64       1.708
         128     2.84533
         256     4.67633
         512       9.107
        1024      18.373
        2048      29.116
        4096     54.8583
        8192       110.6
       16384     219.298
       32768     445.252
       65536      888.69
      131072     1781.46
      262144     3563.76
      524288     7144.28
     1048576     14274.3
     2097152     28531.8
     4194304     57094.8
     8388608      113991
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssss 
        size     Runtime
           2       0.244
           4    0.248333
           8    0.384333
          16       0.506
          32    0.840333
          64     1.45933
         128       2.519
         256     4.96433
         512       9.256
        1024     14.8827
        2048     25.6757
        4096     47.1933
        8192     93.0687
       16384     175.311
       32768     284.746
       65536     511.926
      131072     1033.51
      262144     2091.12
      524288     4267.41
     1048576     8652.38
     2097152     17380.6
     4194304     34646.4
     8388608     69428.3
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssss 
        size     Runtime
           2    0.399333
           4       0.213
           8    0.297333
          16        0.42
          32       0.701
          64       1.084
         128     1.86533
         256     3.05133
         512     5.41867
        1024     10.6257
        2048     20.9887
        4096     38.8663
        8192     75.6307
       16384     147.743
       32768     292.021
       65536     565.524
      131072     1123.86
      262144     2209.21
      524288     4433.43
     1048576     8834.38
     2097152     17833.1
     4194304     35613.4
     8388608       70883
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=ssssssss 
        size     Runtime
           2    0.327667
           4    0.285333
           8    0.375667
          16    0.612333
          32    0.810667
          64        1.49
         128       2.729
         256     4.63033
         512       7.153
        1024     14.2143
        2048     23.6967
        4096     45.9437
        8192     87.3993
       16384     155.747
       32768     293.892
       65536     536.758
      131072     1095.67
      262144     2192.09
      524288     4531.77
     1048576     9136.57
     2097152       18477
     4194304     36688.9
     8388608     73412.8
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=ssssssss 
        size     Runtime
           2       0.247
           4       0.234
           8    0.313333
          16    0.470667
          32    0.717333
          64     1.12167
         128       1.775
         256     2.95067
         512     5.79833
        1024      10.872
        2048      19.681
        4096      37.222
        8192     73.3573
       16384     144.398
       32768     286.358
       65536      580.45
      131072     1210.56
      262144     2419.83
      524288     4826.21
     1048576     9720.28
     2097152       19406
     4194304     38907.7
     8388608     77673.9
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=ssssssss 
        size     Runtime
           2    0.217667
           4       0.241
           8       0.377
          16    0.663667
          32     1.03033
          64       1.694
         128       3.943
         256     5.23233
         512     8.72933
        1024      13.576
        2048      23.383
        4096     42.5527
        8192     76.0893
       16384     146.663
       32768     278.933
       65536     558.688
      131072     1128.97
      262144     2304.09
      524288     4690.28
     1048576     9514.05
     2097152       19010
     4194304       37970
     8388608       76202
model=tbb num_threads=64 num_rounds=3 num_lines=64 pipes=ssssssss 
        size     Runtime
           2       0.471
           4       0.451
           8    0.500333
          16       0.566
          32    0.864667
          64       1.323
         128     1.86533
         256       3.422
         512     6.29733
        1024     12.3693
        2048     21.2543
        4096      40.662
        8192     81.1903
       16384     164.364
       32768     327.719
       65536     651.765
      131072     1314.97
      262144     2600.31
      524288     5320.79
     1048576     10640.2
     2097152     21146.9
     4194304     41740.9
     8388608     84600.5
model=tf num_threads=80 num_rounds=3 num_lines=80 pipes=ssssssss 
        size     Runtime
           2       0.197
           4    0.234333
           8    0.389667
          16    0.667333
          32     1.05733
          64     2.46467
         128     3.86533
         256     4.45233
         512       9.017
        1024     12.5713
        2048      22.907
        4096     42.7053
        8192     76.0427
       16384     149.046
       32768     287.878
       65536     582.871
      131072      1159.5
      262144     2335.79
      524288     4806.21
     1048576     9652.02
     2097152     19320.2
     4194304     38589.3
     8388608     77585.3
model=tbb num_threads=80 num_rounds=3 num_lines=80 pipes=ssssssss 
        size     Runtime
           2    0.204333
           4    0.260333
           8    0.296667
          16     2.93367
          32     1.02367
          64     1.22433
         128     1.96433
         256     3.85633
         512     7.33733
        1024      13.587
        2048      23.499
        4096     45.6037
        8192       92.19
       16384     184.769
       32768      368.58
       65536     741.235
      131072     1477.45
      262144     2947.08
      524288     5882.81
     1048576     11771.8
     2097152     23597.5
     4194304     47268.4
     8388608     94405.2
