model=tf num_threads=1 num_rounds=3 num_lines=1 pipes=ssssssssssssssss 
        size     Runtime
           2    0.392333
           4    0.474667
           8     1.14633
          16     1.21833
          32     5.04267
          64       9.241
         128     17.5597
         256      29.645
         512      36.156
        1024     70.5473
        2048     200.222
        4096     334.868
        8192     595.803
       16384     1126.69
       32768     2189.09
       65536     4304.82
      131072     8606.93
      262144     17016.5
      524288       37368
     1048576     67874.1
     2097152      135615
     4194304      271374
     8388608      542624
model=tbb num_threads=1 num_rounds=3 num_lines=1 pipes=ssssssssssssssss 
        size     Runtime
           2     1.05333
           4       1.644
           8        3.09
          16     5.66467
          32     9.98767
          64     16.5383
         128      22.929
         256     41.2837
         512     82.5523
        1024     165.107
        2048     330.199
        4096     660.153
        8192     1356.87
       16384     2648.17
       32768     5328.77
       65536       10560
      131072     21167.3
      262144     42299.3
      524288     84529.4
     1048576      169029
     2097152      338008
     4194304      676284
     8388608 1.35182e+06
model=tf num_threads=2 num_rounds=3 num_lines=2 pipes=ssssssssssssssss 
        size     Runtime
           2       0.555
           4    0.392667
           8    0.786667
          16     1.72767
          32     2.70467
          64       5.829
         128       9.013
         256      16.411
         512     41.0873
        1024      73.604
        2048     129.948
        4096     255.731
        8192      352.84
       16384     663.209
       32768     1187.54
       65536     2369.39
      131072     4558.42
      262144     9113.45
      524288     19709.4
     1048576     35833.6
     2097152     71214.9
     4194304      143693
     8388608      285068
model=tbb num_threads=2 num_rounds=3 num_lines=2 pipes=ssssssssssssssss 
        size     Runtime
           2    0.556667
           4    0.771667
           8       1.505
          16     2.85767
          32       5.318
          64     9.28667
         128     16.4113
         256      24.877
         512      46.786
        1024      91.706
        2048      175.99
        4096     343.866
        8192     687.529
       16384     1402.72
       32768     2725.51
       65536     5462.72
      131072       11029
      262144     21725.8
      524288     43768.3
     1048576     87963.1
     2097152      172790
     4194304      351174
     8388608      691743
model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssssssssssss 
        size     Runtime
           2    0.425333
           4       0.423
           8       0.543
          16       0.789
          32     1.40233
          64     2.70767
         128       5.135
         256     18.4237
         512      22.753
        1024     41.5223
        2048     76.7197
        4096     132.867
        8192     246.318
       16384     483.242
       32768     771.118
       65536     1462.47
      131072     2465.02
      262144     5095.01
      524288     10500.2
     1048576     19065.4
     2097152       37212
     4194304     74607.1
     8388608      145842
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssssssssssss 
        size     Runtime
           2    0.677333
           4    0.426667
           8    0.441667
          16    0.834333
          32       1.622
          64     3.12267
         128     6.15567
         256      12.295
         512     31.7607
        1024     55.8147
        2048      74.191
        4096     184.528
        8192     365.014
       16384     356.537
       32768     1576.25
       65536     3071.23
      131072     5603.15
      262144       11383
      524288     8968.96
     1048576     45456.4
     2097152     89564.5
     4194304      181083
     8388608      143013
model=tf num_threads=24 num_rounds=3 num_lines=24 pipes=ssssssssssssssss 
        size     Runtime
           2       0.416
           4    0.442333
           8       0.656
          16       0.891
          32    0.879667
          64     1.42867
         128     2.26667
         256     4.75733
         512     10.5543
        1024      13.013
        2048     20.3687
        4096      51.792
        8192     97.5253
       16384     199.385
       32768      358.46
       65536     712.784
      131072     1320.63
      262144     2590.36
      524288     5123.43
     1048576     10298.9
     2097152     20668.9
     4194304     41082.7
     8388608     82335.6
model=tbb num_threads=24 num_rounds=3 num_lines=24 pipes=ssssssssssssssss 
        size     Runtime
           2       0.854
           4       0.805
           8    0.546667
          16    0.658333
          32    0.988667
          64       1.488
         128     2.54233
         256       4.444
         512     7.76133
        1024     13.0103
        2048     20.6653
        4096      36.768
        8192     73.3257
       16384     146.184
       32768     292.513
       65536      584.56
      131072     1168.21
      262144     2339.34
      524288     4672.93
     1048576     9346.25
     2097152     18690.5
     4194304     37417.7
     8388608     74814.2
